INSTANCE_ID, ebglucose_Time, ebglucose_solved, ebglucose_opt, ebglucose_PAR, INSTANCE_ID, ebminisat_Time, ebminisat_solved, ebminisat_opt, ebminisat_PAR, INSTANCE_ID, glucose2_Time, glucose2_solved, glucose2_opt, glucose2_PAR, INSTANCE_ID, glueminisat_Time, glueminisat_solved, glueminisat_opt, glueminisat_PAR, INSTANCE_ID, lingeling_Time, lingeling_solved, lingeling_opt, lingeling_PAR, INSTANCE_ID, lrglshr_Time, lrglshr_solved, lrglshr_opt, lrglshr_PAR, INSTANCE_ID, minisatpsm_Time, minisatpsm_solved, minisatpsm_opt, minisatpsm_PAR, INSTANCE_ID, mphaseSAT64_Time, mphaseSAT64_solved, mphaseSAT64_opt, mphaseSAT64_PAR, INSTANCE_ID, precosat_Time, precosat_solved, precosat_opt, precosat_PAR, INSTANCE_ID, qutersat_Time, qutersat_solved, qutersat_opt, qutersat_PAR, INSTANCE_ID, rcl_Time, rcl_solved, rcl_opt, rcl_PAR, INSTANCE_ID, restartsat_Time, restartsat_solved, restartsat_opt, restartsat_PAR, INSTANCE_ID, cryptominisat2011_Time, cryptominisat2011_solved, cryptominisat2011_opt, cryptominisat2011_PAR, INSTANCE_ID, spear-sw_Time, spear-sw_solved, spear-sw_opt, spear-sw_PAR, INSTANCE_ID, spear-hw_Time, spear-hw_solved, spear-hw_opt, spear-hw_PAR, INSTANCE_ID, eagleup_Time, eagleup_solved, eagleup_opt, eagleup_PAR, INSTANCE_ID, sparrow_Time, sparrow_solved, sparrow_opt, sparrow_PAR, INSTANCE_ID, marchrw_Time, marchrw_solved, marchrw_opt, marchrw_PAR, INSTANCE_ID, mphaseSATm_Time, mphaseSATm_solved, mphaseSATm_opt, mphaseSATm_PAR, INSTANCE_ID, satime11_Time, satime11_solved, satime11_opt, satime11_PAR, INSTANCE_ID, tnm_Time, tnm_solved, tnm_opt, tnm_PAR, INSTANCE_ID, mxc09_Time, mxc09_solved, mxc09_opt, mxc09_PAR, INSTANCE_ID, gnoveltyp2_Time, gnoveltyp2_solved, gnoveltyp2_opt, gnoveltyp2_PAR, INSTANCE_ID, sattime_Time, sattime_solved, sattime_opt, sattime_PAR, INSTANCE_ID, sattimep_Time, sattimep_solved, sattimep_opt, sattimep_PAR, INSTANCE_ID, clasp2_Time, clasp2_solved, clasp2_opt, clasp2_PAR, INSTANCE_ID, clasp1_Time, clasp1_solved, clasp1_opt, clasp1_PAR, INSTANCE_ID, picosat_Time, picosat_solved, picosat_opt, picosat_PAR, INSTANCE_ID, mphaseSAT_Time, mphaseSAT_solved, mphaseSAT_opt, mphaseSAT_PAR, INSTANCE_ID, sapperlot_Time, sapperlot_solved, sapperlot_opt, sapperlot_PAR, INSTANCE_ID, sol_Time, sol_solved, sol_opt, sol_PAR, INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, Pre_featuretime, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, Basic_featuretime, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, KLB_featuretime, CG_mean, CG_coeff_variation, CG_min, CG_max, CG_entropy, cluster_coeff_mean, cluster_coeff_coeff_variation, cluster_coeff_min, cluster_coeff_max, cluster_coeff_entropy, CG_featuretime, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, DIAMETER_featuretime, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, cl_featuretime, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, sp_featuretime, saps_BestSolution_Mean, saps_BestSolution_CoeffVariance, saps_FirstLocalMinStep_Mean, saps_FirstLocalMinStep_CoeffVariance, saps_FirstLocalMinStep_Median, saps_FirstLocalMinStep_Q10, saps_FirstLocalMinStep_Q90, saps_BestAvgImprovement_Mean, saps_BestAvgImprovement_CoeffVariance, saps_FirstLocalMinRatio_Mean, saps_FirstLocalMinRatio_CoeffVariance, ls_saps_featuretime, gsat_BestSolution_Mean, gsat_BestSolution_CoeffVariance, gsat_FirstLocalMinStep_Mean, gsat_FirstLocalMinStep_CoeffVariance, gsat_FirstLocalMinStep_Median, gsat_FirstLocalMinStep_Q10, gsat_FirstLocalMinStep_Q90, gsat_BestAvgImprovement_Mean, gsat_BestAvgImprovement_CoeffVariance, gsat_FirstLocalMinRatio_Mean, gsat_FirstLocalMinRatio_CoeffVariance, ls_gsat_featuretime, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, lobjois_featuretime
1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,108.96,2,0,108.96,1322,211.01,2,0,211.01,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,534.99,2,0,534.99,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,947.65,2,0,947.65,1322,998.67,2,0,998.67,1322,614.91,2,0,614.91,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,1201,0,0,12000,1322,55,4895,55,4895,0,0,0,0.011236,0.31487,0.68047,0.14286,1,1.0102,0.12727,0,0.12727,0.12727,0,0,0,0,0,0.12727,0.042727,0.11624,0.14198,3.6954,0.032787,0.023439,0,0.09434,2.0824,0.0081382,0.14596,0.0053115,0.010827,2.9424,0.063943,0.011032,0,0.011032,0.011032,0,-1,0,-1,0,-512,-1,0,-1,0,0,20.13,2,0,2,2,0,0.02,4512.7,0.0098735,4466,4596,4596,4466,4544,4477,4499,21.227,0.010132,20.958,21.517,21.517,20.958,21.487,21.056,21.267,2,0.065991,0.69835,0.00044294,0.18347,0.12306,0.01313,0.10155,0.024964,0.059239,6.60E-05,0.40112,1.94E-05,0.00014379,0.00010417,3.49E-05,8.07E-05,4.40E-05,6.39E-05,0.19,7.4938,0.2756,9.7208,0.22276,10,7,13,2.1972,0.32398,0.89249,0.10905,2.05,6.8923,0.29145,9.7566,0.22289,10,7,13,1.9237,0.42585,0.88019,0.14033,2.08,0.69787,0.76859,2
2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,0.74,1,0,0.74,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,0.01,1,0,0.01,2614,0.02,1,0,0.02,2614,38.04,1,0,38.04,2614,0.87,1,0,0.87,2614,0.05,1,0,0.05,2614,0.04,1,0,0.04,2614,1201,0,0,12000,2614,0.01,1,0,0.01,2614,0.02,1,0,0.02,2614,0.27,1,0,0.27,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,1,1,0,1,2614,1201,0,0,12000,2614,1201,0,0,12000,2614,550,2343,540,2333,0.018519,0.0042863,0,0.23146,0.50676,0.58025,0,1,0.67109,0.0055952,0.050784,0.0055556,0.0092593,0.10339,0,0,0.97985,0,0.0055952,0.26548,0.0017145,0.01243,2.6296,0.22938,0.17194,0,1,3.3359,0.002821,0.37398,0.00042863,0.0068581,2.2844,0.50493,0.01104,0.26495,0.0034291,0.023146,0,0.0083573,0.22962,0.0030004,0.017145,2.8956,0.10761,0.23356,0.052439,0.28571,2.2373,0.06,4,0,4,4,0,0.08,3843.3,0.022316,3734,4000,4000,3734,3964,3794,3833,31.2,0.070378,28.568,34.912,34.912,28.568,34.638,29.905,30.561,2,0.41057,0.56603,0.00052706,1,0.72833,0.096421,0.58656,0.20842,0.41482,0.090432,0.63211,0.0019358,0.31603,0.16653,0.028526,0.12261,0.049369,0.078494,0.01,16.659,0.39576,120.6,0.069782,121,110,131,0.90891,0.22117,0.85567,0.096121,2.17,13.486,0.27344,120.45,0.067775,121,110,131,0.32523,0.36216,0.844,0.032461,2.43,0.32096,0.54201,2
2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,16.08,1,0,16.08,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1.14,1,0,1.14,2185,0.6,1,0,0.6,2185,1201,0,0,12000,2185,22.59,1,0,22.59,2185,176.38,1,0,176.38,2185,3.86,1,0,3.86,2185,1201,0,0,12000,2185,48.97,1,0,48.97,2185,240.01,1,0,240.01,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,26.25,1,0,26.25,2185,1201,0,0,12000,2185,1201,0,0,12000,2185,4000,16800,3898,16687,0.026167,0.0067717,0.04,0.2336,0.49567,0.58643,0,1,0.71382,0.00077903,0.065569,0.00076963,0.0015393,0.15833,0,0,0.96542,0,0.00077903,0.28323,0.00011985,0.0019177,2.6918,0.22679,0.16917,0,1,3.3589,0.0003861,0.39491,0,0.0011386,2.3266,0.49769,0.0015753,0.28642,0.00023971,0.0040151,0.04,0.0011763,0.24081,0.00029963,0.0026967,2.9467,0.10307,0.2418,0.043478,0.33333,2.2447,0.28,5,0,5,5,0,2.01,58.299,0.29844,30,151,77,42,64,49,55,39.76,0.10561,31.057,56.661,45.195,35.127,42.143,37.172,39.455,2,0.3938,0.57001,0.00036217,1,0.69723,0.087406,0.57147,0.21048,0.38991,0.091124,0.6412,0.0025705,0.53288,0.17337,0.028741,0.12225,0.046923,0.078099,0.13,117.5,0.29938,842.75,0.098831,849.5,821,877,0.66409,0.28151,0.85032,0.047756,2.12,91.861,1.9516,844.62,0.096793,852,825,876,0.10728,0.30125,0.82309,0.094808,2.43,0.25783,0.38263,2
2606,989.53,2,0,989.53,2606,382.03,2,0,382.03,2606,503.83,2,0,503.83,2606,1201,0,0,12000,2606,1164.5,2,0,1164.5,2606,1201,0,0,12000,2606,1201,0,0,12000,2606,167,2,0,167,2606,1201,0,0,12000,2606,708.99,2,0,708.99,2606,1201,0,0,12000,2606,538.49,2,0,538.49,2606,698.98,2,0,698.98,2606,1201,0,0,12000,2606,170.69,2,0,170.69,2606,1201,0,0,12000,2606,1201,0,0,12000,2606,8.15,2,0,8.15,2606,48.09,2,0,48.09,2606,1201,0,0,12000,2606,1201,0,0,12000,2606,56.46,2,0,56.46,2606,1201,0,0,12000,2606,1201,0,0,12000,2606,1201,0,0,12000,2606,66.74,2,0,66.74,2606,86.98,2,0,86.98,2606,43.69,2,0,43.69,2606,134.13,2,0,134.13,2606,416.48,2,0,416.48,2606,1201,0,0,12000,2606,75,1597,75,1597,0,0,0,0.046963,0.37307,0.64503,0.2,1,0.82311,0.066667,0,0.066667,0.066667,0,0,0,0,0,0.066667,0.086198,0.052599,0.08015,3.2902,0.081613,0.059731,0,0.22124,2.814,0.012607,0.22277,0.0068879,0.019411,2.7408,0.1891,0.046203,0.0074373,0.044458,0.046337,0,0.15741,0.05701,0.12711,0.18785,4.0529,0.15075,0.045474,0.1315,0.17501,1.1261,4.79,2.1622,0.17048,2,3,0.44324,0,4384.3,0.010671,4337,4489,4489,4337,4399,4354,4373,18.996,0.022559,18.511,19.908,19.908,18.511,19.233,18.682,18.879,2,0.16816,0.67757,0.00066987,0.4133,0.34566,0.016409,0.25339,0.081423,0.15156,0.0017609,0.61212,0.00035131,0.0057048,0.0030881,0.00070553,0.0021153,0.0009942,0.0015884,0.03,7.157,0.32311,15.228,0.19003,15,12,19,1.7336,0.27124,0.88201,0.092133,1.58,6.1898,0.33869,15.316,0.18879,15,12,19,1.33,0.42757,0.86232,0.092033,2.21,0.58973,0.73104,2
1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,127.86,1,0,127.86,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,6.97,1,0,6.97,1509,1.76,1,0,1.76,1509,1201,0,0,12000,1509,210.65,1,0,210.65,1509,97.93,1,0,97.93,1509,48.06,1,0,48.06,1509,1201,0,0,12000,1509,282.15,1,0,282.15,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,211.54,1,0,211.54,1509,1201,0,0,12000,1509,1201,0,0,12000,1509,10000,42000,9752,41709,0.025431,0.0069769,0.15,0.23381,0.4953,0.58668,0,1,0.71902,0.00031161,0.065776,0.00030763,0.00061526,0.1655,0,0,0.96255,0,0.00031161,0.29085,2.40E-05,0.00083915,2.7143,0.22742,0.17071,0,1,3.3528,0.00015331,0.40129,0,0.00062337,2.3332,0.49375,0.0006315,0.29426,4.80E-05,0.0017023,0.26,0.00047287,0.24454,0.00011988,0.0012228,2.9653,0.10225,0.24333,0.038462,0.33333,2.2497,0.8,5.0606,0.047132,5,6,0.2285,2.01,18.264,0.36678,8,42,26,11,21,13,17,53.165,0.18036,32.318,84,64.9,40.813,59.8,47.405,52,1.99,0.39264,0.58218,3.34E-05,1,0.7045,0.08258,0.57049,0.20187,0.38755,0.093014,0.64584,0.0011976,0.58546,0.17467,0.028322,0.12557,0.04797,0.080247,0.43,479.19,1.7795,2014.6,0.26726,2150,2085,2183,0.79216,1.0194,1.0139,0.65888,2.08,148.32,0.096015,2129.1,0.018957,2130,2070,2165,0.06155,0.22185,0.82441,0.0082531,2.5,0.23697,0.30168,2
2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,18.21,1,0,18.21,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,1201,0,0,12000,2785,2000,40000,2000,40000,0,0,0.1,0.05,0.37531,0.64767,0.2,1,0.83017,0.0025,0,0.0025,0.0025,0,0,0,0,0,0.0025,0.099962,0.001625,0.003475,3.7021,0.080477,0.059448,0,0.32558,3.0216,0.00046831,0.2317,0.000175,0.000875,2.8754,0.18732,0.00906,0.092197,0.006125,0.0123,0.03,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,3,0,3,3,0,2.01,16.876,0.27325,9,42,22,12,19,14,16,75.996,0.13972,47.65,108.67,89.909,63.182,82.556,69.138,74.733,2.01,0.16889,0.67622,0.00030268,0.58031,0.33129,0.031254,0.24594,0.072078,0.15518,0.0027535,0.68557,0.00023311,0.020087,0.0048429,0.0010225,0.003446,0.0014765,0.0022959,0.67,104.08,0.12053,382.53,0.045765,384,359,402,0.92541,0.21432,0.85386,0.021562,2.11,82.523,0.11127,385.53,0.046943,385,364,407,0.22859,0.36296,0.84033,0.020112,2.23,0.45999,0.55149,2
1769,1201,0,0,12000,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,3.6,1,0,3.6,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,3.29,1,0,3.29,1769,0.86,1,0,0.86,1769,1201,0,0,12000,1769,3.63,1,0,3.63,1769,4.16,1,0,4.16,1769,0.93,1,0,0.93,1769,1201,0,0,12000,1769,0.03,1,0,0.03,1769,3.23,1,0,3.23,1769,3.85,1,0,3.85,1769,612.52,1,0,612.52,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,3.66,1,0,3.66,1769,1201,0,0,12000,1769,1201,0,0,12000,1769,70,6230,70,6230,0,0,0.01,0.011236,0.31419,0.68155,0.14286,1,1.0088,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0.040096,0.090048,0.11108,3.7235,0.03155,0.027604,0.0015456,0.11258,2.0474,0.0067576,0.15823,0.0043339,0.0093098,3.1371,0.067576,0.011075,0,0.011075,0.011075,0.01,-1,0,-1,0,-512,-1,0,-1,0,0,20.08,2,0,2,2,0,0.02,4445,0.017647,4369,4573,4573,4369,4499,4386,4398,26.106,0.021914,25.572,27.202,27.202,25.572,26.012,25.743,26.003,2,0.063467,0.84384,0.003111,0.21501,0.16136,0.0075139,0.093822,0.019843,0.051293,6.62E-05,0.39103,2.09E-05,0.00016284,0.00010441,3.74E-05,8.01E-05,4.71E-05,6.58E-05,0.26,8.6655,0.26728,12.167,0.21044,12,9,16,2.0258,0.31079,0.88202,0.099934,2.04,8.3593,0.27029,12.138,0.20411,12,9,15,1.8222,0.42052,0.87548,0.098568,2.07,0.67758,0.75334,2
2549,48.52,1,0,48.52,2549,16.22,1,0,16.22,2549,20.41,1,0,20.41,2549,1201,0,0,12000,2549,54.16,1,0,54.16,2549,331.84,1,0,331.84,2549,749.46,1,0,749.46,2549,1.63,1,0,1.63,2549,310.8,1,0,310.8,2549,105.96,1,0,105.96,2549,1201,0,0,12000,2549,284.81,1,0,284.81,2549,873.11,1,0,873.11,2549,1201,0,0,12000,2549,268.66,1,0,268.66,2549,0.05,1,0,0.05,2549,0.32,1,0,0.32,2549,0.55,1,0,0.55,2549,1.48,1,0,1.48,2549,1.07,1,0,1.07,2549,0.68,1,0,0.68,2549,84.73,1,0,84.73,2549,0.09,1,0,0.09,2549,0.88,1,0,0.88,2549,0.76,1,0,0.76,2549,1.24,1,0,1.24,2549,141.83,1,0,141.83,2549,28.16,1,0,28.16,2549,1.61,1,0,1.61,2549,33.33,1,0,33.33,2549,1201,0,0,12000,2549,50,4450,50,4450,0,0,0.01,0.011236,0.31576,0.68647,0.14286,1,1.0161,0.14,0,0.14,0.14,0,0,0,0,0,0.14,0.039688,0.12652,0.15236,3.6138,0.033274,0.022381,0.0015129,0.097087,2.0206,0.0090292,0.12891,0.0067416,0.011685,2.8047,0.064494,0.011011,0,0.011011,0.011011,0.01,-1,0,-1,0,-512,-1,0,-1,0,0,20.19,2,0,2,2,0,0.01,4617,0,4617,4617,4617,4617,4617,4617,4617,19.932,0,19.932,19.932,19.932,19.932,19.932,19.932,19.932,0.45,0.067258,0.65246,0.0039175,0.18726,0.13601,0.011952,0.095237,0.029729,0.064323,6.53E-05,0.38798,2.86E-05,0.00015227,9.71E-05,3.74E-05,7.75E-05,4.38E-05,6.72E-05,0.18,6.6892,0.29666,8.9531,0.23323,9,6,12,2.2229,0.34166,0.89214,0.11425,2.03,6.1994,0.31142,8.961,0.23301,9,6,12,1.9479,0.43135,0.87625,0.11673,2.06,0.70639,0.78045,2
2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,498.93,2,0,498.93,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,24.18,2,0,24.18,2386,89.2,2,0,89.2,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,684.08,2,0,684.08,2386,782.38,2,0,782.38,2386,315.22,2,0,315.22,2386,553.64,2,0,553.64,2386,1201,0,0,12000,2386,1201,0,0,12000,2386,400,1704,393,1698,0.017812,0.0035336,0,0.23145,0.49715,0.58534,0,1,0.68741,0.007704,0.054184,0.0076336,0.010178,0.12658,0,0,0.97232,0,0.007704,0.28731,0.0029446,0.014723,2.6914,0.22216,0.16536,0,0.73333,3.2759,0.0038318,0.39564,0.00058893,0.0088339,2.3311,0.49882,0.015024,0.2832,0.0058893,0.028857,0,0.011665,0.23859,0.0041225,0.023557,2.948,0.10959,0.24951,0.053981,0.25,2.3384,0.03,4,0,4,4,0,0.02,3928,0.018126,3835,4035,4035,3835,4017,3870,3947,23.826,0.038813,22.446,25.338,25.338,22.446,25.062,23.257,23.785,1.99,0.37486,0.60571,0.00017028,0.92277,0.70532,0.075037,0.5596,0.17333,0.35551,0.085082,0.67221,0.0052801,0.30794,0.17136,0.024447,0.11072,0.044002,0.069986,0.02,16.687,0.29439,86.409,0.078874,86,78,95,0.95933,0.20211,0.85641,0.042297,2.28,13.868,0.23878,86.567,0.079148,87,78,95,0.37876,0.39051,0.84503,0.037094,2.61,0.32478,0.6233,2
2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,265.82,1,0,265.82,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,19.79,1,0,19.79,2115,13.29,1,0,13.29,2115,1201,0,0,12000,2115,329.55,1,0,329.55,2115,5.13,1,0,5.13,2115,19.78,1,0,19.78,2115,1201,0,0,12000,2115,14.68,1,0,14.68,2115,204.1,1,0,204.1,2115,824.09,1,0,824.09,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,314.45,1,0,314.45,2115,1201,0,0,12000,2115,1201,0,0,12000,2115,700,14000,700,14000,0,0,0.02,0.05,0.37694,0.65252,0.2,1,0.83675,0.0071429,0,0.0071429,0.0071429,0,0,0,0,0,0.0071429,0.10102,0.0051429,0.0092857,3.6953,0.082134,0.064356,0,0.36957,3.0456,0.0013536,0.23717,0.0005,0.0026429,2.8908,0.1895,0.021752,0.077074,0.0165,0.026429,0.01,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,3,0,3,3,0,0.55,73.887,0.21387,50,144,93,58,79,64,71,50.087,0.069894,42.145,59.661,54.805,45.103,52.6,47.75,49.682,2,0.1721,0.71725,0.00029913,0.63551,0.34402,0.021847,0.2539,0.066612,0.15802,0.0028461,0.6872,0.00035022,0.013334,0.0052321,0.0010065,0.0035541,0.0015357,0.0023106,0.22,38.26,0.171,134.33,0.070223,134,123,147,1.1087,0.22122,0.85735,0.032274,2.12,31.484,0.17746,134.74,0.069167,135,123,147,0.43611,0.41268,0.84486,0.030808,2.18,0.48904,0.60751,2
