INSTANCE_ID, ebglucose_Time, ebglucose_solved, ebglucose_opt, ebglucose_PAR, INSTANCE_ID, ebminisat_Time, ebminisat_solved, ebminisat_opt, ebminisat_PAR, INSTANCE_ID, glucose2_Time, glucose2_solved, glucose2_opt, glucose2_PAR, INSTANCE_ID, glueminisat_Time, glueminisat_solved, glueminisat_opt, glueminisat_PAR, INSTANCE_ID, lingeling_Time, lingeling_solved, lingeling_opt, lingeling_PAR, INSTANCE_ID, lrglshr_Time, lrglshr_solved, lrglshr_opt, lrglshr_PAR, INSTANCE_ID, minisatpsm_Time, minisatpsm_solved, minisatpsm_opt, minisatpsm_PAR, INSTANCE_ID, mphaseSAT64_Time, mphaseSAT64_solved, mphaseSAT64_opt, mphaseSAT64_PAR, INSTANCE_ID, precosat_Time, precosat_solved, precosat_opt, precosat_PAR, INSTANCE_ID, qutersat_Time, qutersat_solved, qutersat_opt, qutersat_PAR, INSTANCE_ID, rcl_Time, rcl_solved, rcl_opt, rcl_PAR, INSTANCE_ID, restartsat_Time, restartsat_solved, restartsat_opt, restartsat_PAR, INSTANCE_ID, cryptominisat2011_Time, cryptominisat2011_solved, cryptominisat2011_opt, cryptominisat2011_PAR, INSTANCE_ID, spear-sw_Time, spear-sw_solved, spear-sw_opt, spear-sw_PAR, INSTANCE_ID, spear-hw_Time, spear-hw_solved, spear-hw_opt, spear-hw_PAR, INSTANCE_ID, eagleup_Time, eagleup_solved, eagleup_opt, eagleup_PAR, INSTANCE_ID, sparrow_Time, sparrow_solved, sparrow_opt, sparrow_PAR, INSTANCE_ID, marchrw_Time, marchrw_solved, marchrw_opt, marchrw_PAR, INSTANCE_ID, mphaseSATm_Time, mphaseSATm_solved, mphaseSATm_opt, mphaseSATm_PAR, INSTANCE_ID, satime11_Time, satime11_solved, satime11_opt, satime11_PAR, INSTANCE_ID, tnm_Time, tnm_solved, tnm_opt, tnm_PAR, INSTANCE_ID, mxc09_Time, mxc09_solved, mxc09_opt, mxc09_PAR, INSTANCE_ID, gnoveltyp2_Time, gnoveltyp2_solved, gnoveltyp2_opt, gnoveltyp2_PAR, INSTANCE_ID, sattime_Time, sattime_solved, sattime_opt, sattime_PAR, INSTANCE_ID, sattimep_Time, sattimep_solved, sattimep_opt, sattimep_PAR, INSTANCE_ID, clasp2_Time, clasp2_solved, clasp2_opt, clasp2_PAR, INSTANCE_ID, clasp1_Time, clasp1_solved, clasp1_opt, clasp1_PAR, INSTANCE_ID, picosat_Time, picosat_solved, picosat_opt, picosat_PAR, INSTANCE_ID, mphaseSAT_Time, mphaseSAT_solved, mphaseSAT_opt, mphaseSAT_PAR, INSTANCE_ID, sapperlot_Time, sapperlot_solved, sapperlot_opt, sapperlot_PAR, INSTANCE_ID, sol_Time, sol_solved, sol_opt, sol_PAR, INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, Pre_featuretime, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, Basic_featuretime, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, KLB_featuretime, CG_mean, CG_coeff_variation, CG_min, CG_max, CG_entropy, cluster_coeff_mean, cluster_coeff_coeff_variation, cluster_coeff_min, cluster_coeff_max, cluster_coeff_entropy, CG_featuretime, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, DIAMETER_featuretime, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, cl_featuretime, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, sp_featuretime, saps_BestSolution_Mean, saps_BestSolution_CoeffVariance, saps_FirstLocalMinStep_Mean, saps_FirstLocalMinStep_CoeffVariance, saps_FirstLocalMinStep_Median, saps_FirstLocalMinStep_Q10, saps_FirstLocalMinStep_Q90, saps_BestAvgImprovement_Mean, saps_BestAvgImprovement_CoeffVariance, saps_FirstLocalMinRatio_Mean, saps_FirstLocalMinRatio_CoeffVariance, ls_saps_featuretime, gsat_BestSolution_Mean, gsat_BestSolution_CoeffVariance, gsat_FirstLocalMinStep_Mean, gsat_FirstLocalMinStep_CoeffVariance, gsat_FirstLocalMinStep_Median, gsat_FirstLocalMinStep_Q10, gsat_FirstLocalMinStep_Q90, gsat_BestAvgImprovement_Mean, gsat_BestAvgImprovement_CoeffVariance, gsat_FirstLocalMinRatio_Mean, gsat_FirstLocalMinRatio_CoeffVariance, ls_gsat_featuretime, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, lobjois_featuretime
1170,12.42,1,0,12.42,1170,0.87,1,0,0.87,1170,18.05,1,0,18.05,1170,51.61,1,0,51.61,1170,23.46,1,0,23.46,1170,3.88,1,0,3.88,1170,5.73,1,0,5.73,1170,0.41,1,0,0.41,1170,32.71,1,0,32.71,1170,10.3,1,0,10.3,1170,1.28,1,0,1.28,1170,6.67,1,0,6.67,1170,27.46,1,0,27.46,1170,1111.54,1,0,1111.54,1170,7.04,1,0,7.04,1170,1200.999,0,0,12000,1170,0.1,1,0,0.1,1170,0.85,1,0,0.85,1170,7.42,1,0,7.42,1170,0.17,1,0,0.17,1170,0.08,1,0,0.08,1170,5.33,1,0,5.33,1170,0.49,1,0,0.49,1170,0.29,1,0,0.29,1170,0.05,1,0,0.05,1170,6.89,1,0,6.89,1170,12.08,1,0,12.08,1170,1.1,1,0,1.1,1170,7.1,1,0,7.1,1170,1.75,1,0,1.75,1170,1.8,1,0,1.8,1170,1295,4026,1105,3771,0.171945701,0.067621321,0.01,0.293025723,0.477232261,0.721176462,0,1,1.237533095,0.002702693,0.216899507,0.001809955,0.006334842,0.928914917,0,0.18324052,0.859188544,0,0.002702693,0.370163054,0.000265182,0.007425086,2.609511767,0.272633679,0.19071024,0,1,3.130240344,0.00129999,0.427422943,0,0.00318218,2.124530889,0.513126492,0.005379948,0.38973396,0.000530363,0.015380536,0,0.004017456,0.373289285,0.000530363,0.012993901,3.094499348,0.143092876,0.387069754,0.043265306,0.666666667,2.775070573,0.05,4.935688406,0.051175079,4,6,0.256616867,0.28,2593.625,0.21127295,1771,3447,3447,1771,3437,2293,2495,40.09487236,0.164945097,32.53211009,51.47775551,51.47775551,32.53211009,50.38001129,36.36031332,38.61256545,1.99,0.426827226,0.567470639,6.81E-05,1,0.742736399,0.098692125,0.625263421,0.217282083,0.426675531,0.152487172,0.592717931,0.005661408,0.911415138,0.268378735,0.049865345,0.20810495,0.085183261,0.139752599,0.04,23.5312,0.32654,238.027,0.0566946,238,223,253,0.723934,0.221486,0.846327,0.031531,2.26,20.4183,0.211042,238.78,0.0469617,238,225,253,0.202006,0.305269,0.841131,0.0221906,2.78,0.276093347,0.566239747,2
1171,8.18,1,0,8.18,1171,12.33,1,0,12.33,1171,27.78,1,0,27.78,1171,13.12,1,0,13.12,1171,10.57,1,0,10.57,1171,2.3,1,0,2.3,1171,15.82,1,0,15.82,1171,10.1,1,0,10.1,1171,10.82,1,0,10.82,1171,54.57,1,0,54.57,1171,0.85,1,0,0.85,1171,8.64,1,0,8.64,1171,155.69,1,0,155.69,1171,66.7,1,0,66.7,1171,7.1,1,0,7.1,1171,1200.999,0,0,12000,1171,0,1,0,0,1171,0.04,1,0,0.04,1171,6.24,1,0,6.24,1171,0.01,1,0,0.01,1171,0.01,1,0,0.01,1171,8.01,1,0,8.01,1171,0.06,1,0,0.06,1171,0.01,1,0,0.01,1171,0.01,1,0,0.01,1171,10.29,1,0,10.29,1171,1.41,1,0,1.41,1171,5.39,1,0,5.39,1171,6.24,1,0,6.24,1171,7.94,1,0,7.94,1171,17.47,1,0,17.47,1171,1295,4026,1128,3831,0.148049645,0.050900548,0.01,0.294440094,0.489106413,0.697618817,0,1,1.174194372,0.00261283,0.198207205,0.00177305,0.005319149,0.856041769,0,0.183503002,0.883059253,0,0.00261283,0.349543774,0.000261028,0.007047768,2.588273076,0.273144354,0.204025163,0,1,3.097460819,0.00130306,0.450893953,0,0.004698512,2.166871655,0.522317933,0.005103939,0.364031518,0.000522057,0.01513965,0,0.003798438,0.347187385,0.000522057,0.010702167,2.997880399,0.146724448,0.367728073,0.049941928,0.666666667,2.737054889,0.05,4.98136646,0.033083539,4,6,0.138117776,0.21,3654.166667,0.059854564,3179,3800,3800,3179,3798,3648,3771,33.04732163,0.038371478,31.70776974,35.66392544,35.66392544,31.70776974,33.20392469,32.1281845,32.84184211,2,0.432477458,0.577447151,0.000127649,1,0.776520855,0.091256041,0.619498877,0.224728121,0.426377326,0.153126988,0.611354286,0.005243936,0.91942094,0.27125641,0.050403214,0.208615025,0.084748051,0.140076126,0.04,20.9517,0.371195,244.536,0.0480123,244,230,259,0.696998,0.226144,0.842766,0.0254808,2.25,18.8729,0.238401,244.578,0.0455732,245,230,259,0.195441,0.322899,0.83878,0.0218769,2.6,0.272576174,0.533972287,2
1173,72.12,1,0,72.12,1173,8.94,1,0,8.94,1173,89.61,1,0,89.61,1173,13.17,1,0,13.17,1173,29.09,1,0,29.09,1173,0.14,1,0,0.14,1173,58.39,1,0,58.39,1173,3.81,1,0,3.81,1173,21.84,1,0,21.84,1173,1200.999,0,0,12000,1173,14.39,1,0,14.39,1173,0.09,1,0,0.09,1173,855.84,1,0,855.84,1173,220.42,1,0,220.42,1173,1.07,1,0,1.07,1173,1200.999,0,0,12000,1173,0,1,0,0,1173,0.12,1,0,0.12,1173,7.72,1,0,7.72,1173,0.03,1,0,0.03,1173,0.01,1,0,0.01,1173,9.78,1,0,9.78,1173,0.07,1,0,0.07,1173,0.01,1,0,0.01,1173,0.01,1,0,0.01,1173,0.68,1,0,0.68,1173,4.39,1,0,4.39,1173,21.07,1,0,21.07,1173,7.75,1,0,7.75,1173,26.45,1,0,26.45,1173,1.91,1,0,1.91,1173,1295,4026,1103,3764,0.174070716,0.069606801,0.01,0.29303932,0.472757578,0.716974145,0,1,1.226516698,0.002709257,0.219366203,0.001813237,0.007252947,0.930538292,0,0.182784272,0.860786397,0,0.002709257,0.397073287,0.00053135,0.010361318,2.616864313,0.270102318,0.190136479,0,1,3.099406707,0.001334155,0.467739161,0,0.005579171,2.207255572,0.521785335,0.005395872,0.422879856,0.000797024,0.022316684,0,0.004064034,0.419488412,0.001062699,0.018862912,3.12936184,0.14333444,0.374886179,0.031167691,0.5,2.795856889,0.05,4.896551724,0.062195499,4,5,0.332594214,0.24,3703,0.030100325,3543,3843,3843,3543,3827,3608,3748,34.7061262,0.028645548,33.03021064,35.80202775,35.80202775,33.03021064,35.69005207,34.03838555,35.32375229,1.99,0.413804551,0.579748953,0.002599167,1,0.747541167,0.097337392,0.599306571,0.220021843,0.403394093,0.153212535,0.571751652,0.004919174,0.770608273,0.270925568,0.047411227,0.205548213,0.085806272,0.143239108,0.04,23.0748,0.416859,235.785,0.0566713,236,221,250,0.718026,0.237158,0.846311,0.040405,2.2,19.8482,0.281476,236.933,0.04807,237,222,252,0.197791,0.446663,0.840318,0.023377,2.39,0.276987341,0.530836141,2
1176,10.84,1,0,10.84,1176,10,1,0,10,1176,4.8,1,0,4.8,1176,18.14,1,0,18.14,1176,69.38,1,0,69.38,1176,68.06,1,0,68.06,1176,2.87,1,0,2.87,1176,8.71,1,0,8.71,1176,12.27,1,0,12.27,1176,103.03,1,0,103.03,1176,15.94,1,0,15.94,1176,20.5,1,0,20.5,1176,9.47,1,0,9.47,1176,778.68,1,0,778.68,1176,26.45,1,0,26.45,1176,1200.999,0,0,12000,1176,0.04,1,0,0.04,1176,2.64,1,0,2.64,1176,24.5,1,0,24.5,1176,12.3,1,0,12.3,1176,1.82,1,0,1.82,1176,6.67,1,0,6.67,1176,376.5,1,0,376.5,1176,1.51,1,0,1.51,1176,73.41,1,0,73.41,1176,2.36,1,0,2.36,1176,18.5,1,0,18.5,1176,0.01,1,0,0.01,1176,24.44,1,0,24.44,1176,28.19,1,0,28.19,1176,4.65,1,0,4.65,1176,1295,4026,1117,3771,0.159355416,0.067621321,0.01,0.296207902,0.486934121,0.709850186,0,1,1.202471496,0.00264968,0.205417197,0.00179051,0.006266786,0.879950223,0,0.18324052,0.877220896,0,0.00264968,0.354451584,0.000265182,0.007690268,2.576216176,0.265054328,0.199361558,0,1,3.091921038,0.001325908,0.450603892,0,0.003712543,2.19090833,0.525590029,0.005224814,0.374605267,0.000530363,0.014584991,0,0.003874704,0.365223157,0.000530363,0.012463538,3.040901464,0.146973985,0.378325728,0.041666667,0.666666667,2.75233359,0.05,4.964157706,0.040255541,4,6,0.181735225,0.22,3594.2,0.066076521,3213,3885,3885,3213,3805,3519,3549,36.13616858,0.132157963,31.60298676,44.84500467,44.84500467,31.60298676,37.4759875,32.81415701,33.94270697,2,0.411863262,0.596600721,0.000433592,1,0.745982969,0.08435744,0.604369985,0.209067682,0.409224077,0.15296959,0.626111442,0.004087589,0.947783939,0.271747617,0.048911251,0.206282467,0.082837948,0.138261718,0.04,26.5037,0.335242,237.73,0.0556716,238,225,252,0.722014,0.240789,0.845366,0.0325675,2.2,22.5322,0.240203,238.125,0.0467712,238,224,253,0.19097,0.401381,0.838542,0.0233626,2.51,0.264429624,0.532034885,2
1179,970.86,1,0,970.86,1179,498.9,1,0,498.9,1179,407.66,1,0,407.66,1179,481.91,1,0,481.91,1179,1200.999,0,0,12000,1179,1200.999,0,0,12000,1179,92.09,1,0,92.09,1179,105.03,1,0,105.03,1179,719.95,1,0,719.95,1179,1200.999,0,0,12000,1179,1200.999,0,0,12000,1179,541.65,1,0,541.65,1179,1200.999,0,0,12000,1179,1200.999,0,0,12000,1179,202.07,1,0,202.07,1179,1200.999,0,0,12000,1179,0.1,1,0,0.1,1179,13.46,1,0,13.46,1179,171.99,1,0,171.99,1179,16.55,1,0,16.55,1179,0.42,1,0,0.42,1179,92.42,1,0,92.42,1179,47.97,1,0,47.97,1179,10.01,1,0,10.01,1179,48.79,1,0,48.79,1179,51.02,1,0,51.02,1179,175.26,1,0,175.26,1179,356.61,1,0,356.61,1179,170.91,1,0,170.91,1179,104.86,1,0,104.86,1179,1200.999,0,0,12000,1179,1295,4026,1122,3834,0.154188948,0.050078247,0.01,0.292644757,0.487341332,0.707246204,0,1,1.17294162,0.002630094,0.200395919,0.001782531,0.005347594,0.860640912,0,0.182576943,0.883150756,0,0.002630094,0.359443665,0.000260824,0.007303078,2.623259783,0.262582933,0.198732254,0,1,3.058007663,0.001287384,0.467704494,0,0.003651539,2.213137302,0.512780386,0.005165342,0.380569594,0.000521648,0.015388628,0,0.003891954,0.360975573,0.000521648,0.010693792,3.042153947,0.143508628,0.36184258,0.052631579,0.666666667,2.74262325,0.05,4.985727029,0.030411627,4,6,0.1215748,0.2,2946.5,0.167161417,2229,3795,3795,2229,3419,2638,2894,37.60486101,0.111899643,34.03363557,47.51781653,47.51781653,34.03363557,40.63952569,34.97021277,35.93711127,1.99,0.421178095,0.580479158,0.000198799,1,0.751406482,0.097251498,0.598734237,0.218558389,0.414868998,0.148232651,0.631853618,0.006558909,0.843987976,0.258270562,0.044887219,0.196502067,0.083253912,0.136908816,0.03,31.1099,0.231965,242.011,0.0474093,242,227,257,0.763882,0.222657,0.851842,0.0256302,2.28,24.7545,0.327202,241.328,0.0566324,242,227,256,0.200498,0.491192,0.842109,0.0432101,2.67,0.261739012,0.518327461,2
1181,105.44,1,0,105.44,1181,6.33,1,0,6.33,1181,6.09,1,0,6.09,1181,52.33,1,0,52.33,1181,23.29,1,0,23.29,1181,64.55,1,0,64.55,1181,18.93,1,0,18.93,1181,100.54,1,0,100.54,1181,18.45,1,0,18.45,1181,1200.999,0,0,12000,1181,29.56,1,0,29.56,1181,14.18,1,0,14.18,1181,1200.999,0,0,12000,1181,356.29,1,0,356.29,1181,11.76,1,0,11.76,1181,1200.999,0,0,12000,1181,0.02,1,0,0.02,1181,0.09,1,0,0.09,1181,147.97,1,0,147.97,1181,5.43,1,0,5.43,1181,0.38,1,0,0.38,1181,12.37,1,0,12.37,1181,7.46,1,0,7.46,1181,2.88,1,0,2.88,1181,1,1,0,1,1181,28.55,1,0,28.55,1181,13.95,1,0,13.95,1181,7.89,1,0,7.89,1181,147.77,1,0,147.77,1181,5.48,1,0,5.48,1181,67.4,1,0,67.4,1181,1665,5177,1414,4843,0.177510608,0.068965517,0.01,0.291967789,0.497827989,0.697636465,0,1,1.213979763,0.002107768,0.210442562,0.001414427,0.004950495,0.901683114,0,0.178401817,0.863307867,0,0.002107768,0.3702372,0.000206484,0.006607475,2.613821833,0.272302016,0.194240996,0,1,3.107238976,0.001025409,0.474349326,0,0.005368573,2.203111019,0.511666323,0.004183702,0.385735437,0.000206484,0.013214949,0.01,0.003130126,0.37506564,0.000619451,0.009704728,3.07475232,0.141699266,0.365138924,0.043439716,0.5,2.753797541,0.05,5.002830856,0.026044513,4,6,0.097597771,0.37,3637.6,0.048186528,3337,3840,3840,3337,3754,3563,3694,37.82113978,0.035287769,35.75876536,39.96182992,39.96182992,35.75876536,37.99242014,37.62679808,37.76588542,2,0.424190608,0.582442306,7.68E-05,1,0.762017189,0.086901308,0.617561779,0.221281052,0.414533901,0.154158839,0.580998759,0.003771534,0.867082278,0.267447807,0.051781648,0.206399694,0.088819391,0.141527413,0.05,31.2199,0.29432,302.344,0.0544233,303,287,318,0.707569,0.234881,0.849044,0.0278498,2.18,25.7837,0.20682,303.536,0.0421274,304,288,320,0.178861,0.374503,0.84261,0.0199591,2.4,0.234197812,0.50256747,2
1186,208.69,1,0,208.69,1186,20.36,1,0,20.36,1186,5.79,1,0,5.79,1186,78.07,1,0,78.07,1186,11.26,1,0,11.26,1186,27.05,1,0,27.05,1186,22.82,1,0,22.82,1186,17.9,1,0,17.9,1186,63.16,1,0,63.16,1186,235.6,1,0,235.6,1186,9.02,1,0,9.02,1186,2.04,1,0,2.04,1186,304.25,1,0,304.25,1186,1200.999,0,0,12000,1186,9.66,1,0,9.66,1186,1200.999,0,0,12000,1186,0.07,1,0,0.07,1186,11.02,1,0,11.02,1186,4.48,1,0,4.48,1186,0.58,1,0,0.58,1186,0.16,1,0,0.16,1186,7.59,1,0,7.59,1186,0.68,1,0,0.68,1186,0.21,1,0,0.21,1186,0.22,1,0,0.22,1186,37.3,1,0,37.3,1186,17.99,1,0,17.99,1186,9.84,1,0,9.84,1186,4.46,1,0,4.46,1186,88.65,1,0,88.65,1186,52.68,1,0,52.68,1186,1665,5177,1441,4932,0.155447606,0.049675588,0.01,0.29217356,0.485680976,0.706054236,0,1,1.232485871,0.002074852,0.226882886,0.001387925,0.0055517,0.933898681,0,0.183495539,0.864557989,0,0.002074852,0.380469992,0.000202758,0.006082725,2.627064503,0.274362356,0.209251222,0,1,3.124048923,0.00101435,0.471743845,0,0.00405515,2.197800904,0.51784266,0.004137322,0.408529628,0.000405515,0.013584753,0.01,0.003049585,0.390724044,0.000405515,0.009124088,3.096675379,0.144060595,0.380857807,0.044444444,0.666666667,2.765707375,0.06,4.996527778,0.024159086,4,6,0.08582404,0.35,2144.625,0.167932403,1518,2672,2672,1518,2515,1937,2238,36.09565365,0.08097638,31.48606466,39.98011928,39.98011928,31.48606466,39.61077844,34.77903975,36.67255892,2,0.422756228,0.593037378,0.0003044,1,0.773513533,0.0913521,0.620349717,0.222807221,0.40007826,0.15665862,0.614189973,0.002263578,0.927581066,0.269686971,0.050609544,0.211921035,0.084594204,0.144412764,0.06,29.3171,0.298123,309.941,0.0432785,310,293,327,0.69542,0.227339,0.843254,0.0230603,2.25,24.3527,0.203487,309.464,0.042098,310,293,326,0.174061,0.316327,0.836773,0.0207882,2.97,0.2530701,0.471129122,2
1194,20.36,1,0,20.36,1194,53.75,1,0,53.75,1194,3.04,1,0,3.04,1194,72.97,1,0,72.97,1194,447.8,1,0,447.8,1194,228.28,1,0,228.28,1194,1200.999,0,0,12000,1194,17.64,1,0,17.64,1194,124.13,1,0,124.13,1194,1200.999,0,0,12000,1194,46.5,1,0,46.5,1194,181.53,1,0,181.53,1194,1200.999,0,0,12000,1194,1200.999,0,0,12000,1194,29.33,1,0,29.33,1194,1200.999,0,0,12000,1194,0.26,1,0,0.26,1194,17.92,1,0,17.92,1194,60.68,1,0,60.68,1194,1.09,1,0,1.09,1194,0.13,1,0,0.13,1194,281.48,1,0,281.48,1194,0.39,1,0,0.39,1194,0.37,1,0,0.37,1194,0.14,1,0,0.14,1194,0.13,1,0,0.13,1194,151.14,1,0,151.14,1194,55.12,1,0,55.12,1194,60.66,1,0,60.66,1194,143.61,1,0,143.61,1194,73.78,1,0,73.78,1194,2035,6327,1724,5884,0.180394432,0.075288919,0.01,0.292997961,0.483883655,0.708321035,0,1,1.215764757,0.001727225,0.212416559,0.001160093,0.004060325,0.901995256,0,0.179639701,0.869816451,0,0.001727225,0.367104761,0.000339905,0.00492862,2.618958573,0.274751511,0.208063167,0,1,3.154857406,0.000849171,0.480134505,0,0.003229096,2.200772911,0.515635622,0.003433157,0.383903506,0.000509857,0.00985724,0.01,0.002525775,0.371068607,0.000339905,0.007817811,3.062531926,0.144227479,0.391072129,0.043478261,0.666666667,2.743838138,0.06,5.000580383,0.014452541,4,6,0.036245204,0.51,1110.666667,0.26802367,733,1851,1547,744,1294,847,1096,31.66321969,0.133227342,24.95225102,39.89548213,39.84494868,27.28407643,34.35701599,28.29795521,30.59536542,2.01,0.425473008,0.582743814,0.000192525,1,0.764884628,0.093484662,0.612547553,0.222098979,0.412555413,0.159997174,0.594091807,0.003571593,0.854558592,0.27963905,0.048912808,0.220634295,0.09107264,0.148084058,0.06,33.7864,0.385235,368.169,0.0567621,368,349,387,0.669766,0.225533,0.849648,0.0360841,2.25,30.0308,0.991315,368.542,0.0566922,369,352,386,0.169904,1.12321,0.860244,0.435777,2.73,0.236950592,0.46462106,2
1221,36.65,1,0,36.65,1221,6.65,1,0,6.65,1221,87.15,1,0,87.15,1221,99.46,1,0,99.46,1221,87.09,1,0,87.09,1221,193.29,1,0,193.29,1221,122.5,1,0,122.5,1221,34.3,1,0,34.3,1221,11.88,1,0,11.88,1221,61.6,1,0,61.6,1221,48.48,1,0,48.48,1221,41.77,1,0,41.77,1221,28.72,1,0,28.72,1221,146.78,1,0,146.78,1221,10.34,1,0,10.34,1221,1200.999,0,0,12000,1221,0.03,1,0,0.03,1221,0.25,1,0,0.25,1221,26.19,1,0,26.19,1221,0.06,1,0,0.06,1221,0.02,1,0,0.02,1221,96.82,1,0,96.82,1221,0.01,1,0,0.01,1221,0.02,1,0,0.02,1221,0.29,1,0,0.29,1221,36.83,1,0,36.83,1221,2.68,1,0,2.68,1221,42.14,1,0,42.14,1221,22.92,1,0,22.92,1221,51.59,1,0,51.59,1221,30.42,1,0,30.42,1221,630,2280,586,2207,0.075085324,0.033076575,0,0.265518804,0.495423652,0.643296627,0,1,0.997236914,0.005102443,0.145859349,0.003412969,0.008532423,0.609272364,0,0.096511101,0.917082012,0,0.005102443,0.314346774,0.001359311,0.011327594,2.615480966,0.241760017,0.175094789,0,1,3.19802955,0.002578671,0.4442059,0,0.008155868,2.276955349,0.516085184,0.01000849,0.31862824,0.002718623,0.023108292,0,0.007560078,0.289888018,0.001812415,0.016311735,2.96509693,0.127076399,0.302967368,0.055555556,0.4,2.569107538,0.03,4.073504274,0.064063377,4,5,0.262610518,0.06,3923.166667,0.009172031,3876,3969,3969,3876,3966,3884,3928,26.09491769,0.060016499,24.36351909,28.73828921,28.73828921,24.36351909,27.32098765,24.5354954,26.3663641,2,0.392934024,0.597937306,0.001490715,1,0.721531041,0.078848385,0.580080594,0.203412433,0.376760128,0.118749681,0.629963451,0.008945091,0.591267926,0.227133311,0.037530964,0.161352454,0.063311366,0.106114632,0.02,18.8054,0.342827,126.66,0.0679362,127,116,137,0.852463,0.21996,0.850217,0.0873693,2.22,15.442,0.465989,126.722,0.0672288,127,116,137,0.278795,0.34657,0.837685,0.0385549,2.46,0.306130588,0.54895069,2
1222,7.84,1,0,7.84,1222,7.31,1,0,7.31,1222,61,1,0,61,1222,22.73,1,0,22.73,1222,449.7,1,0,449.7,1222,105.77,1,0,105.77,1222,1200.999,0,0,12000,1222,11.07,1,0,11.07,1222,19.36,1,0,19.36,1222,20.1,1,0,20.1,1222,577.33,1,0,577.33,1222,66.44,1,0,66.44,1222,152.48,1,0,152.48,1222,448.29,1,0,448.29,1222,6.8,1,0,6.8,1222,1200.999,0,0,12000,1222,0.01,1,0,0.01,1222,0.09,1,0,0.09,1222,5.28,1,0,5.28,1222,0.01,1,0,0.01,1222,0.02,1,0,0.02,1222,34.24,1,0,34.24,1222,0.07,1,0,0.07,1222,0.01,1,0,0.01,1222,0.26,1,0,0.26,1222,0.44,1,0,0.44,1222,22.58,1,0,22.58,1222,35.55,1,0,35.55,1222,5.33,1,0,5.33,1222,36.28,1,0,36.28,1222,322.38,1,0,322.38,1222,630,2280,594,2243,0.060606061,0.016495765,0,0.264823897,0.500921385,0.637234551,0,1,0.978552065,0.005024986,0.15030919,0.003367003,0.01010101,0.589254433,0,0.095407936,0.932233616,0,0.005024986,0.327091948,0.000445831,0.013374944,2.613460662,0.249051295,0.178188293,0,1,3.204415204,0.00263596,0.435678978,0,0.008470798,2.292358918,0.535889434,0.009841317,0.327610754,0.000445831,0.026304057,0,0.007407998,0.304713039,0.001783326,0.019170753,2.99240674,0.12835509,0.317715051,0.048625793,0.4,2.607150025,0.03,4.227655987,0.099184838,4,5,0.536428494,0.07,3879.333333,0.016661113,3763,3974,3974,3763,3907,3843,3898,29.04304825,0.087412284,25.79876638,33.10115752,33.10115752,25.79876638,30.96177527,26.74020988,29.9683763,2,0.398585002,0.607131698,0.001990169,1,0.737280803,0.076242663,0.595025023,0.196691785,0.386391824,0.123078669,0.61097304,0.006108653,0.670083367,0.230273019,0.040103084,0.167500978,0.065675501,0.10828024,0.02,16.2033,0.339672,129.455,0.0624309,130,119,140,0.847517,0.222722,0.85099,0.0341552,2.28,13.7571,0.268161,129.074,0.0619785,129,119,139,0.283333,0.35309,0.842278,0.0307068,2.46,0.303847736,0.622311569,2
