number, dummy_non_parameter_1, dummy_non_parameter_2, dummy_non_parameter_3, dummy_non_parameter_4, sp-clause-activity-inc, sp-clause-decay, sp-clause-del-heur, sp-clause-inversion, sp-first-restart, sp-learned-clause-sort-heur, sp-learned-clauses-inc, sp-learned-size-factor, sp-max-res-lit-inc, sp-max-res-runs, sp-orig-clause-sort-heur, sp-phase-dec-heur, sp-rand-phase-dec-freq, sp-rand-phase-scaling, sp-rand-var-dec-freq, sp-rand-var-dec-scaling, sp-res-cutoff-cls, sp-res-cutoff-lits, sp-res-order-heur, sp-resolution, sp-restart-inc, sp-update-dec-queue, sp-use-pure-literal-rule, sp-var-activity-inc, sp-var-dec-heur, sp-variable-decay
0, -1, 0, 0, 0, 0.5, 1.4, 1, 1, 200, 12, 1.4, 0.8, 2, 32, 5, 1, 0.0001, 0.3, 0.01, 1.1, 20, 100, 17, 0, 1.3, 0, 1, 1, 13, 1.1
0, -1, 0, 0, 0, 1.5, 2.0, 1, 0, 400, 1, 1.3, 0.4, 0.25, 1, 15, 2, 0.05, 0.6, 0.001, 1, 16, 1600, 1, 2, 1.3, 0, 1, 1, 13, 1.4
0, -1, 0, 0, 0, 1, 1.4, 2, 1, 100, 9, 1.3, 0.4, 4, 8, 8, 6, 0.01, 0.3, 0, 0.9, 16, 400, 14, 1, 1.3, 0, 1, 1.5, 8, 1.4
0, -1, 0, 0, 0, 1.5, 1.1, 0, 1, 50, 13, 1.1, 1.6, 2, 32, 11, 6, 0.005, 0.6, 0, 0.6, 8, 400, 6, 2, 1.5, 1, 0, 0.5, 12, 2.0
0, -1, 0, 0, 0, 1, 1.1, 0, 0, 400, 6, 1.5, 0.4, 2, 1, 19, 2, 0.05, 0.3, 0.01, 1.1, 4, 800, 12, 1, 1.5, 0, 0, 1.5, 7, 2.0
0, -1, 0, 0, 0, 0.5, 1.4, 1, 0, 3200, 5, 1.1, 0.8, 0.25, 32, 14, 4, 0.005, 0.6, 0.001, 0.6, 2, 100, 4, 0, 1.9, 1, 0, 1.5, 10, 2.0
0, -1, 0, 0, 0, 0.5, 2.0, 0, 1, 200, 18, 1.4, 0.4, 4, 8, 12, 1, 0.01, 0.3, 0, 1.1, 16, 800, 16, 1, 1.7, 1, 0, 1, 3, 1.1
0, -1, 0, 0, 0, 1, 1.1, 1, 0, 3200, 0, 1.3, 0.4, 1, 16, 10, 1, 0.01, 0.6, 0, 0.3, 16, 400, 15, 2, 1.7, 0, 1, 1.5, 11, 1.1
0, -1, 0, 0, 0, 1.5, 2.0, 0, 1, 25, 1, 1.3, 0.2, 0.25, 32, 19, 5, 0.0001, 0.3, 0.0001, 1, 8, 200, 18, 2, 1.9, 1, 0, 1.5, 6, 1.4
0, -1, 0, 0, 0, 0.5, 2.0, 2, 0, 800, 16, 1.4, 0.8, 4, 4, 15, 0, 0.005, 0.6, 0.0001, 1.1, 2, 400, 6, 0, 1.7, 1, 0, 1, 1, 1.4
0, -1, 0, 0, 0, 0.5, 1.4, 1, 0, 1600, 12, 1.2, 0.4, 0.25, 32, 2, 5, 0.05, 0.3, 0.0001, 0.6, 4, 100, 11, 0, 1.1, 0, 1, 1, 19, 1.4
0, -1, 0, 0, 0, 1, 1.4, 0, 1, 100, 7, 1.4, 1.6, 0.25, 2, 11, 5, 0.0001, 1.1, 0.05, 0.6, 16, 200, 5, 0, 1.1, 1, 1, 0.5, 15, 1.4
0, -1, 0, 0, 0, 1.5, 1.1, 2, 0, 800, 8, 1.3, 0.4, 0.5, 8, 13, 6, 0.05, 0.9, 0.05, 0.9, 20, 100, 16, 0, 1.5, 1, 0, 0.5, 17, 1.4
0, -1, 0, 0, 0, 1.5, 1.1, 1, 0, 100, 7, 1.2, 0.8, 4, 4, 4, 0, 0.01, 0.9, 0.001, 0.6, 20, 400, 15, 2, 1.7, 1, 1, 1, 9, 1.1
0, -1, 0, 0, 0, 1.5, 1.4, 2, 1, 200, 18, 1.1, 0.4, 0.5, 2, 14, 4, 0.001, 1.1, 0.001, 0.6, 16, 1600, 2, 1, 1.1, 1, 1, 1, 2, 1.4
