INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, CG_mean, CG_coeff_variation, CG_min, CG_max, CG_entropy, cluster_coeff_mean, cluster_coeff_coeff_variation, cluster_coeff_min, cluster_coeff_max, cluster_coeff_entropy, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, vars_reduced_depth_1, vars_reduced_depth_4, vars_reduced_depth_16, vars_reduced_depth_64, vars_reduced_depth_256, LP_OBJ, LPSLack_mean, LPSLack_coeff_variation, LPSLack_min, LPSLack_max, lpIntRatio, saps_BestSolution_Mean, saps_BestSolution_CoeffVariance, saps_FirstLocalMinStep_Mean, saps_FirstLocalMinStep_CoeffVariance, saps_FirstLocalMinStep_Median, saps_FirstLocalMinStep_Q10, saps_FirstLocalMinStep_Q90, saps_BestAvgImprovement_Mean, saps_BestAvgImprovement_CoeffVariance, saps_FirstLocalMinRatio_Mean, saps_FirstLocalMinRatio_CoeffVariance, gsat_BestSolution_Mean, gsat_BestSolution_CoeffVariance, gsat_FirstLocalMinStep_Mean, gsat_FirstLocalMinStep_CoeffVariance, gsat_FirstLocalMinStep_Median, gsat_FirstLocalMinStep_Q10, gsat_FirstLocalMinStep_Q90, gsat_BestAvgImprovement_Mean, gsat_BestAvgImprovement_CoeffVariance, gsat_FirstLocalMinRatio_Mean, gsat_FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, CG_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, unit_featuretime, lpTIME, ls_saps_featuretime, ls_gsat_featuretime, lobjois_featuretime
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/generated/gen-1/gen-1.1/unif-c1000-v500-s1356655268.cnf, 500.0, 1000.0, 268.0, 664.0, 0.865671642, 0.506024096, 0.403614458, 0.420486165, 0.710086958, 0.0, 1.0, 1.810984558, 0.014953471, 0.30789785, 0.01119403, 0.041044776, 1.371899737, 0.0, 0.0, 0.442771084, 0.014953471, 0.42461231, 0.001506024, 0.042168675, 2.667945818, 0.312363346, 0.209432978, 0.0, 1.0, 3.135811676, 0.004495594, 0.560390489, 0.0, 0.012048193, 1.86630558, 0.34186747, 0.039718576, 0.427675338, 0.003012048, 0.103915663, 0.029353861, 0.417693831, 0.009036145, 0.075301205, 3.382805196, 0.136945065, 0.343225958, 0.054579093, 0.380952381, 2.793943803, 4.052434457, 0.055004348, 4.0, 5.0, 0.205621905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.262632799, 0.716819374, 0.002016383, 1.0, 0.501770267, 0.052749453, 0.369313842, 0.115518988, 0.234316608, 0.399632225, 0.177533632, 0.242683164, 0.930271071, 0.443515868, 0.338373346, 0.423499744, 0.37006628, 0.394616199, 0.0, 0.0, 0.014925373, 0.078358209, 0.492537313, 0.585843373, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0004, 49.9925, 33.8618, 0.116424, 34.0, 29.0, 39.0, 1.27827, 0.126148, 0.945498, 0.0330067, 0.0972, 3.20687, 33.8052, 0.117152, 34.0, 29.0, 39.0, 0.719197, 0.503884, 0.947401, 0.0334919, 0.918253415, 0.998532063, 0.01, 0.0, 0.0, 0.02, 0.02, 0.0, 0.01, 0.01, 0.08, 1.78, 2.16, 8.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/generated/gen-1/gen-1.1/unif-c1000-v500-s1434891596.cnf, 500.0, 1000.0, 271.0, 687.0, 0.84501845, 0.455604076, 0.394468705, 0.427371973, 0.69792958, 0.0, 1.0, 1.892648807, 0.01559806, 0.387641337, 0.011070111, 0.044280443, 1.518357673, 0.0, 0.0, 0.4643377, 0.01559806, 0.552554952, 0.001455604, 0.059679767, 2.788376375, 0.324705748, 0.230055318, 0.0, 1.0, 3.284017604, 0.004254016, 0.547321906, 0.0, 0.013100437, 1.816189828, 0.336244541, 0.043130999, 0.540617223, 0.002911208, 0.155749636, 0.030256224, 0.481860542, 0.008733624, 0.090247453, 3.529044558, 0.137106766, 0.36903986, 0.053884712, 0.488888889, 2.888845034, 4.022222222, 0.047526659, 3.0, 5.0, 0.176943993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.266707181, 0.722233005, 0.001006631, 1.0, 0.517813196, 0.043012951, 0.377541089, 0.099810008, 0.246097882, 0.393777898, 0.167747915, 0.248471029, 0.954357035, 0.438606191, 0.338275927, 0.416931606, 0.361247546, 0.390896779, 0.0, 0.0, 0.025830258, 0.158671587, 0.391143911, 0.877729258, 0.030750308, 3.677716683, 0.0, 0.5, 0.922509225, 0.0004, 49.9925, 34.4725, 0.114467, 34.0, 29.0, 40.0, 1.2819, 0.125764, 0.946705, 0.0327176, 0.0935, 3.26802, 34.5823, 0.113544, 35.0, 30.0, 40.0, 0.730063, 0.496528, 0.948785, 0.032995, 0.942069862, 0.998964916, 0.0, 0.0, 0.0, 0.04, 0.01, 0.0, 0.01, 0.01, 0.07, 1.87, 2.19, 8.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/generated/gen-1/gen-1.1/unif-c1000-v500-s1452658649.cnf, 500.0, 1000.0, 229.0, 564.0, 1.183406114, 0.773049645, 0.406028369, 0.390790617, 0.671122074, 0.0, 1.0, 2.049063808, 0.019882932, 0.468771017, 0.013100437, 0.069868996, 1.682208526, 0.0, 0.0, 0.423758865, 0.019882932, 0.586165136, 0.00177305, 0.076241135, 2.835990022, 0.339620141, 0.207315457, 0.0, 1.0, 3.160648718, 0.004885565, 0.549136943, 0.0, 0.014184397, 1.798697498, 0.313829787, 0.057682183, 0.560213946, 0.003546099, 0.193262411, 0.04547055, 0.597682689, 0.010638298, 0.161347518, 3.803237948, 0.144110648, 0.346257405, 0.059134615, 0.374331551, 2.889287599, 4.083333333, 0.06768622, 4.0, 5.0, 0.286835983, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32233907, 0.653985085, 0.000763913, 1.0, 0.589127637, 0.069189884, 0.47613318, 0.126641465, 0.295881588, 0.411966095, 0.148064903, 0.275638736, 0.928317186, 0.455778759, 0.359762371, 0.433321547, 0.381800745, 0.410204415, 0.0, 0.0, 0.0, 0.209606987, 0.515283843, 0.819148936, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0006, 40.8146, 27.565, 0.127291, 28.0, 23.0, 32.0, 1.23627, 0.137884, 0.945541, 0.0371724, 0.0768, 3.62507, 27.4909, 0.129277, 28.0, 23.0, 32.0, 0.751224, 0.508624, 0.946542, 0.0378476, 0.928244833, 0.998450471, 0.01, 0.0, 0.0, 0.05, 0.02, 0.0, 0.01, 0.0, 0.06, 1.51, 1.75, 7.66
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/generated/gen-1/gen-1.1/unif-c1000-v500-s421884056.cnf, 500.0, 1000.0, 280.0, 660.0, 0.785714286, 0.515151515, 0.424242424, 0.411376864, 0.703985122, 0.0, 1.0, 1.81281573, 0.014583333, 0.362292584, 0.010714286, 0.05, 1.429981246, 0.0, 0.0, 0.493939394, 0.014583333, 0.555057269, 0.001515152, 0.059090909, 2.662885602, 0.341906815, 0.223038774, 0.0, 1.0, 3.0271141, 0.004004329, 0.61773166, 0.0, 0.012121212, 1.850422675, 0.336363636, 0.038906926, 0.54682389, 0.003030303, 0.145454545, 0.029191919, 0.534463355, 0.006060606, 0.115151515, 3.485372316, 0.149515223, 0.368951032, 0.048022599, 0.472222222, 2.883490009, 4.17921147, 0.091770731, 4.0, 5.0, 0.470195692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.286472255, 0.745576723, 0.004454639, 1.0, 0.558094109, 0.039372504, 0.406208671, 0.117498579, 0.255618715, 0.406808499, 0.221359092, 0.239917685, 0.950541053, 0.442596956, 0.350030817, 0.418371432, 0.373876692, 0.396127057, 0.0, 0.0, 0.021428571, 0.157142857, 0.525, 0.762121212, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0002, 70.7071, 35.1043, 0.113764, 35.0, 30.0, 40.0, 1.2981, 0.1189, 0.953161, 0.0307976, 0.0647, 3.96831, 35.0438, 0.116094, 35.0, 30.0, 40.0, 0.760717, 0.494047, 0.953901, 0.0310344, 0.929028993, 0.998829557, 0.01, 0.0, 0.0, 0.03, 0.01, 0.0, 0.02, 0.0, 0.07, 1.8, 2.04, 8.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/generated/gen-1/gen-1.1/unif-c1000-v500-s581298880.cnf, 500.0, 1000.0, 283.0, 684.0, 0.766784452, 0.461988304, 0.41374269, 0.431553786, 0.705299176, 0.0, 1.0, 1.842733217, 0.014247928, 0.358253354, 0.010600707, 0.045936396, 1.403196147, 0.0, 0.0, 0.485380117, 0.014247928, 0.512206771, 0.001461988, 0.045321637, 2.712590979, 0.322654484, 0.225409289, 0.0, 1.0, 2.992230849, 0.004019176, 0.589471421, 0.0, 0.013157895, 1.836042466, 0.334795322, 0.038218337, 0.525394903, 0.002923977, 0.119883041, 0.028820834, 0.504866149, 0.007309942, 0.089181287, 3.471624744, 0.142174191, 0.359250787, 0.056561086, 0.333333333, 2.919111683, 4.368794326, 0.11375226, 4.0, 6.0, 0.689298751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.273268719, 0.744479624, 0.000365156, 1.0, 0.504619141, 0.054390956, 0.369043374, 0.11835789, 0.244085257, 0.401027624, 0.211161146, 0.271965053, 0.91730886, 0.441060318, 0.332553188, 0.415754002, 0.367733167, 0.392609248, 0.0, 0.0, 0.0, 0.148409894, 0.544169611, 0.761695906, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0005, 44.7124, 36.084, 0.112447, 36.0, 31.0, 41.0, 1.29773, 0.12003, 0.949744, 0.0315681, 0.0873, 3.39199, 36.0103, 0.113593, 36.0, 31.0, 41.0, 0.725532, 0.495889, 0.950309, 0.0318454, 0.938199617, 0.998959069, 0.01, 0.0, 0.0, 0.03, 0.02, 0.0, 0.01, 0.01, 0.07, 1.89, 2.22, 8.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/generated/gen-1/gen-1.1/unif-c1200-v600-s1005658238.cnf, 600.0, 1200.0, 355.0, 854.0, 0.690140845, 0.405152225, 0.415690867, 0.440735052, 0.704666683, 0.0, 1.0, 1.806222977, 0.011112577, 0.312560728, 0.008450704, 0.030985915, 1.334503109, 0.0, 0.0, 0.470725995, 0.011112577, 0.473713223, 0.00117096, 0.035128806, 2.637389334, 0.320069512, 0.213927593, 0.0, 1.0, 3.019446863, 0.003463403, 0.668616197, 0.0, 0.017564403, 1.957506472, 0.354800937, 0.029369661, 0.494709733, 0.00234192, 0.091334895, 0.021458462, 0.460105305, 0.004683841, 0.06440281, 3.388562646, 0.140556189, 0.383593972, 0.049028677, 0.4, 2.897152811, 4.220338983, 0.09820899, 4.0, 5.0, 0.527336666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.259890288, 0.721000345, 0.0013053, 1.0, 0.486164483, 0.045781773, 0.375462337, 0.101950533, 0.232624011, 0.397512159, 0.167070446, 0.261639272, 0.916167932, 0.434384067, 0.348155481, 0.41357364, 0.368736986, 0.393704599, 0.0, 0.0, 0.01971831, 0.073239437, 0.543661972, 0.675644028, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 44.7617, 0.101918, 45.0, 39.0, 51.0, 1.33911, 0.104589, 0.955329, 0.0264168, 0.0656, 3.91929, 44.791, 0.101105, 45.0, 39.0, 51.0, 0.718311, 0.480837, 0.956936, 0.0260525, 0.94502804, 0.999221605, 0.01, 0.0, 0.0, 0.03, 0.03, 0.0, 0.01, 0.01, 0.18, 2.44, 2.79, 8.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/generated/gen-1/gen-1.1/unif-c1200-v600-s1598900340.cnf, 600.0, 1200.0, 314.0, 742.0, 0.910828025, 0.617250674, 0.423180593, 0.434887574, 0.701925178, 0.0, 1.0, 1.867887328, 0.012850447, 0.347052301, 0.00955414, 0.035031847, 1.401608168, 0.0, 0.0, 0.466307278, 0.012850447, 0.468727055, 0.001347709, 0.044474394, 2.67625674, 0.334431743, 0.233546626, 0.0, 1.0, 3.102298301, 0.003665425, 0.575526634, 0.0, 0.01212938, 1.79819228, 0.343665768, 0.035272203, 0.490539112, 0.002695418, 0.121293801, 0.025344919, 0.473980059, 0.006738544, 0.094339623, 3.404878941, 0.141441523, 0.372807399, 0.048289738, 0.384615385, 2.917463708, 4.287539936, 0.105565296, 4.0, 5.0, 0.59993426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.299741759, 0.698954857, 0.004042311, 1.0, 0.559184419, 0.065271458, 0.40075879, 0.151006498, 0.264677323, 0.410691752, 0.224867787, 0.28776138, 0.949170037, 0.444765768, 0.349463208, 0.424391575, 0.371942376, 0.399524367, 0.0, 0.0, 0.01910828, 0.108280255, 0.570063694, 0.721024259, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0005, 44.7124, 39.042, 0.108474, 39.0, 34.0, 44.0, 1.24888, 0.119698, 0.944018, 0.0307839, 0.1306, 2.8129, 39.0363, 0.107636, 39.0, 34.0, 44.0, 0.642782, 0.510109, 0.946041, 0.0312425, 0.926595539, 0.998891627, 0.01, 0.0, 0.0, 0.03, 0.03, 0.0, 0.01, 0.01, 0.3, 2.09, 2.63, 8.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/generated/gen-1/gen-1.1/unif-c1200-v600-s1702653550.cnf, 600.0, 1200.0, 304.0, 746.0, 0.973684211, 0.608579088, 0.407506702, 0.419208532, 0.676921065, 0.0, 1.0, 1.941045472, 0.014273494, 0.408093914, 0.009868421, 0.049342105, 1.590929009, 0.0, 0.0, 0.432975871, 0.014273494, 0.561817604, 0.001340483, 0.053619303, 2.857589356, 0.347621931, 0.223418896, 0.0, 1.0, 3.185637786, 0.003651051, 0.651350348, 0.0, 0.014745308, 1.86099512, 0.315013405, 0.040796529, 0.555242568, 0.002680965, 0.154155496, 0.029885933, 0.526551385, 0.006702413, 0.096514745, 3.664043777, 0.133919506, 0.362694791, 0.047086247, 0.357142857, 2.859882672, 4.066006601, 0.061065724, 4.0, 5.0, 0.243184563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.309627481, 0.667106441, 0.000230039, 1.0, 0.566669125, 0.053797758, 0.435135943, 0.152378316, 0.296466558, 0.409958352, 0.180419163, 0.288100318, 0.921253194, 0.449121166, 0.346697889, 0.428379463, 0.38159622, 0.405405456, 0.0, 0.0, 0.003289474, 0.138157895, 0.286184211, 0.83847185, 0.003289474, 12.288205727, 0.0, 0.5, 0.993421053, 0.0, 0.0, 36.8705, 0.11139, 37.0, 32.0, 42.0, 1.29013, 0.113508, 0.953353, 0.029495, 0.0744, 3.67288, 36.9868, 0.111474, 37.0, 32.0, 42.0, 0.724869, 0.500056, 0.954242, 0.0299064, 0.943529119, 0.99910869, 0.01, 0.0, 0.0, 0.04, 0.02, 0.01, 0.02, 0.01, 0.81, 2.02, 2.35, 8.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/generated/gen-1/gen-1.1/unif-c1200-v600-s351323111.cnf, 600.0, 1200.0, 347.0, 834.0, 0.729106628, 0.438848921, 0.416067146, 0.442203121, 0.676571065, 0.0, 1.0, 1.783285321, 0.011337328, 0.358981118, 0.008645533, 0.034582133, 1.32474793, 0.0, 0.0, 0.517985612, 0.011337328, 0.528163517, 0.001199041, 0.044364508, 2.688372137, 0.328370031, 0.220039445, 0.0, 1.0, 2.973422716, 0.003583301, 0.57425083, 0.0, 0.013189448, 1.873658385, 0.357314149, 0.02955791, 0.539859176, 0.002398082, 0.104316547, 0.022508612, 0.518515445, 0.004796163, 0.075539568, 3.446225373, 0.146050984, 0.3774535, 0.048087432, 0.4, 2.95689175, 4.49132948, 0.11385416, 4.0, 6.0, 0.724086928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.251931233, 0.868893376, 0.002008286, 1.0, 0.508529127, 0.029509414, 0.345822922, 0.089602762, 0.203685704, 0.399117057, 0.241315753, 0.24601915, 0.931303709, 0.436854064, 0.328006681, 0.41400322, 0.358547628, 0.388537609, 0.0, 0.0, 0.0, 0.09221902, 0.541786744, 0.591127098, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0001, 100.0, 45.3202, 0.100716, 45.0, 40.0, 51.0, 1.27387, 0.109108, 0.943557, 0.0289819, 0.1137, 2.98494, 45.28, 0.100785, 45.0, 39.0, 51.0, 0.623048, 0.481207, 0.945398, 0.0291024, 0.913474494, 0.998785081, 0.01, 0.0, 0.0, 0.04, 0.02, 0.0, 0.01, 0.01, 0.11, 2.44, 3.02, 8.0
/ubc/cs/project/arrow/projects/Sat_Data/bench/SAT_Competition2002/sat-2002-beta/generated/gen-1/gen-1.1/unif-c1200-v600-s832656087.cnf, 600.0, 1200.0, 307.0, 749.0, 0.954397394, 0.602136182, 0.40987984, 0.400250432, 0.75100179, 0.0, 1.0, 1.831837607, 0.013759932, 0.418448339, 0.009771987, 0.042345277, 1.512871075, 0.0, 0.0, 0.469959947, 0.013759932, 0.559427564, 0.001335113, 0.052069426, 2.820996705, 0.351443242, 0.238633717, 0.0, 1.0, 3.200191334, 0.003857478, 0.576667041, 0.0, 0.012016021, 1.883081484, 0.343124166, 0.039114041, 0.567977253, 0.002670227, 0.129506008, 0.027885868, 0.536478767, 0.00400534, 0.101468625, 3.542488483, 0.140790947, 0.370746642, 0.052542373, 0.5, 2.91542617, 4.235294118, 0.100154202, 4.0, 5.0, 0.545594574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.300779726, 0.714018917, 0.000468114, 1.0, 0.572549643, 0.052753353, 0.421142154, 0.141376955, 0.259605235, 0.405642306, 0.224155111, 0.254284589, 1.0, 0.444097817, 0.332992369, 0.424155201, 0.367572492, 0.399625332, 0.0, 0.0, 0.0, 0.048859935, 0.482084691, 0.646194927, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0004, 49.9925, 38.1317, 0.111145, 38.0, 33.0, 44.0, 1.29575, 0.117537, 0.949345, 0.0307022, 0.0965, 3.26051, 38.211, 0.109369, 38.0, 33.0, 44.0, 0.697716, 0.508384, 0.950518, 0.0305761, 0.920666741, 0.998785185, 0.01, 0.0, 0.0, 0.04, 0.02, 0.0, 0.02, 0.01, 0.09, 2.08, 2.5, 8.0
