INSTANCE_ID, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, vars_clauses_ratio, POSNEG_RATIO_CLAUSE_mean, POSNEG_RATIO_CLAUSE_coeff_variation, POSNEG_RATIO_CLAUSE_min, POSNEG_RATIO_CLAUSE_max, POSNEG_RATIO_CLAUSE_entropy, VCG_CLAUSE_mean, VCG_CLAUSE_coeff_variation, VCG_CLAUSE_min, VCG_CLAUSE_max, VCG_CLAUSE_entropy, UNARY, BINARYp, TRINARYp, VCG_VAR_mean, VCG_VAR_coeff_variation, VCG_VAR_min, VCG_VAR_max, VCG_VAR_entropy, POSNEG_RATIO_VAR_mean, POSNEG_RATIO_VAR_stdev, POSNEG_RATIO_VAR_min, POSNEG_RATIO_VAR_max, POSNEG_RATIO_VAR_entropy, HORNY_VAR_mean, HORNY_VAR_coeff_variation, HORNY_VAR_min, HORNY_VAR_max, HORNY_VAR_entropy, horn_clauses_fraction, VG_mean, VG_coeff_variation, VG_min, VG_max, CG_mean, CG_coeff_variation, CG_min, CG_max, CG_entropy, cluster_coeff_mean, cluster_coeff_coeff_variation, cluster_coeff_min, cluster_coeff_max, cluster_coeff_entropy, DIAMETER_mean, DIAMETER_coeff_variation, DIAMETER_min, DIAMETER_max, DIAMETER_entropy, cl_num_mean, cl_num_coeff_variation, cl_num_min, cl_num_max, cl_num_q90, cl_num_q10, cl_num_q75, cl_num_q25, cl_num_q50, cl_size_mean, cl_size_coeff_variation, cl_size_min, cl_size_max, cl_size_q90, cl_size_q10, cl_size_q75, cl_size_q25, cl_size_q50, SP_bias_mean, SP_bias_coeff_variation, SP_bias_min, SP_bias_max, SP_bias_q90, SP_bias_q10, SP_bias_q75, SP_bias_q25, SP_bias_q50, SP_unconstraint_mean, SP_unconstraint_coeff_variation, SP_unconstraint_min, SP_unconstraint_max, SP_unconstraint_q90, SP_unconstraint_q10, SP_unconstraint_q75, SP_unconstraint_q25, SP_unconstraint_q50, vars_reduced_depth_1, vars_reduced_depth_4, vars_reduced_depth_16, vars_reduced_depth_64, vars_reduced_depth_256, LP_OBJ, LPSLack_mean, LPSLack_coeff_variation, LPSLack_min, LPSLack_max, lpIntRatio, saps_BestSolution_Mean, saps_BestSolution_CoeffVariance, saps_FirstLocalMinStep_Mean, saps_FirstLocalMinStep_CoeffVariance, saps_FirstLocalMinStep_Median, saps_FirstLocalMinStep_Q10, saps_FirstLocalMinStep_Q90, saps_BestAvgImprovement_Mean, saps_BestAvgImprovement_CoeffVariance, saps_FirstLocalMinRatio_Mean, saps_FirstLocalMinRatio_CoeffVariance, gsat_BestSolution_Mean, gsat_BestSolution_CoeffVariance, gsat_FirstLocalMinStep_Mean, gsat_FirstLocalMinStep_CoeffVariance, gsat_FirstLocalMinStep_Median, gsat_FirstLocalMinStep_Q10, gsat_FirstLocalMinStep_Q90, gsat_BestAvgImprovement_Mean, gsat_BestAvgImprovement_CoeffVariance, gsat_FirstLocalMinRatio_Mean, gsat_FirstLocalMinRatio_CoeffVariance, lobjois_mean_depth_over_vars, lobjois_log_num_nodes_over_vars, Pre_featuretime, Basic_featuretime, KLB_featuretime, CG_featuretime, DIAMETER_featuretime, cl_featuretime, sp_featuretime, unit_featuretime, lpTIME, ls_saps_featuretime, ls_gsat_featuretime, lobjois_featuretime
/ubc/cs/project/arrow/projects/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.9875.cnf, 1986.0, 15226.0, 1655.0, 13240.0, 0.2, 0.15, 0.125, 1.0, 0.0, 1.0, 1.0, 0.0, 0.001812689, 0.881917104, 0.001208459, 0.006042296, 0.376770161, 0.0, 0.875, 0.875, 0.001812689, 0.03238842, 0.001661631, 0.001963746, 0.529243894, 0.166842724, 0.005451818, 0.153846154, 0.181818182, 0.529243894, 0.001057402, 0.027761503, 0.000981873, 0.001132931, 0.529243894, 0.875, 0.00407855, 0.035987133, 0.003700906, 0.004456193, 0.002174302, 1.142246212, 0.000679758, 0.009441088, 1.639594488, 0.110118882, 0.449700369, 0.015873016, 0.2, 1.303856446, 12.610036276, 0.105249839, 10.0, 16.0, 1.582724133, 2575.0, 0.143789696, 2033.0, 3018.0, 3018.0, 2033.0, 2973.0, 2218.0, 2754.0, 16.753712936, 0.050995451, 15.708312838, 17.966363942, 17.966363942, 15.708312838, 17.832970225, 16.043733093, 16.526894866, 0.682357614, 0.009329684, 0.665380615, 0.700972247, 0.683365884, 0.680753299, 0.682747522, 0.681818888, 0.68223839, 0.009924364, 0.150003497, 0.00661865, 0.014603377, 0.010110277, 0.009648095, 0.009912131, 0.009732226, 0.009813259, 0.0, 0.0, 0.326888218, 0.401208459, 0.401208459, -0.05, 0.1, 2.0, 0.0, 0.5, 0.8, 50.3029, 0.111329, 549.145, 0.0344034, 550.0, 524.0, 572.0, 2.46353, 0.196946, 0.988378, 0.00255935, 50.3041, 0.102547, 547.802, 0.0775232, 551.0, 524.0, 576.0, 1.0772, 0.447288, 0.988539, 0.00360671, 0.479347243, 0.68459518, 0.04, 0.01, 0.01, 1.23, 1.0, 2.0, 0.19, 0.01, 4.85, 2.11, 2.27, 2.0
/ubc/cs/project/arrow/projects/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.14914.cnf, 2658.0, 20378.0, 2215.0, 17720.0, 0.2, 0.15, 0.125, 1.0, 0.0, 1.0, 1.0, 0.0, 0.001354402, 0.881917104, 0.000902935, 0.004514673, 0.376770161, 0.0, 0.875, 0.875, 0.001354402, 0.034516256, 0.001128668, 0.001580135, 0.545426804, 0.166870225, 0.005928369, 0.142857143, 0.2, 0.545426804, 0.000790068, 0.029585363, 0.000677201, 0.000902935, 0.545426804, 0.875, 0.003047404, 0.038351396, 0.00248307, 0.003611738, 0.001624881, 1.142328177, 0.000451467, 0.007336343, 1.659269915, 0.11012131, 0.450072238, 0.015267176, 0.222222222, 1.336454864, 14.462059621, 0.116068568, 10.0, 18.0, 1.905471879, 1647.333333333, 0.411737057, 881.0, 3435.0, 2527.0, 954.0, 1674.0, 1424.0, 1544.0, 15.357896693, 0.093471849, 13.992607527, 18.265927978, 17.684133916, 14.03511236, 16.279874214, 14.20142487, 14.691756272, 0.682377856, 0.009972733, 0.651300768, 0.717370804, 0.683449798, 0.680333301, 0.682756598, 0.681782343, 0.682241892, 0.009944782, 0.170744382, 0.004757832, 0.021554011, 0.01014522, 0.009637147, 0.009907721, 0.009730684, 0.009812297, 0.0, 0.0, 0.013544018, 0.703386005, 0.703386005, -0.05, 0.1, 2.0, 0.0, 0.5, 0.8, 67.62, 0.19055, 728.48, 0.0879141, 735.0, 698.0, 760.0, 2.29621, 0.225813, 0.988465, 0.00618558, 66.5833, 0.0791836, 738.056, 0.029701, 738.5, 710.0, 770.0, 0.901283, 0.334628, 0.988272, 0.00190974, 0.453930675, 0.65383769, 0.07, 0.0, 0.02, 1.64, 1.78, 1.99, 0.26, 0.02, 9.82, 2.15, 2.24, 2.0
/ubc/cs/project/arrow/projects/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.18939.cnf, 2898.0, 22218.0, 2415.0, 19320.0, 0.2, 0.15, 0.125, 1.0, 0.0, 1.0, 1.0, 0.0, 0.001242236, 0.881917104, 0.000828157, 0.004140787, 0.376770161, 0.0, 0.875, 0.875, 0.001242236, 0.031724458, 0.001035197, 0.001449275, 0.501393212, 0.166835994, 0.005359944, 0.142857143, 0.2, 0.501393212, 0.000724638, 0.027192392, 0.000621118, 0.000828157, 0.501393212, 0.875, 0.002795031, 0.035249398, 0.002277433, 0.003312629, 0.001489971, 1.142236865, 0.000414079, 0.006728778, 1.615335188, 0.110119943, 0.449621817, 0.015267176, 0.222222222, 1.291827575, 16.589812332, 0.083372689, 13.0, 19.0, 1.691154205, 3296.0, 0.092291874, 2828.0, 3680.0, 3680.0, 2828.0, 3680.0, 3330.0, 3346.0, 17.034736902, 0.06643828, 15.338401697, 18.492492492, 18.492492492, 15.338401697, 18.492492492, 16.93903168, 17.369021739, 0.682352224, 0.009076871, 0.652322375, 0.717342269, 0.683333881, 0.680773069, 0.682765992, 0.681728423, 0.68224859, 0.009921966, 0.15028418, 0.00465959, 0.020940249, 0.010106706, 0.00964894, 0.009911002, 0.009730748, 0.009812938, 0.0, 0.0, 0.004140787, 0.700207039, 0.700207039, -0.05, 0.1, 2.0, 0.0, 0.5, 0.8, 79.8015, 0.972206, 797.008, 0.0938433, 800.0, 771.0, 839.0, 2.33677, 0.270011, 0.990243, 0.025188, 72.6641, 0.0855119, 801.885, 0.0301955, 803.0, 772.0, 831.0, 0.878208, 0.373281, 0.988063, 0.00213026, 0.454341864, 0.643689455, 0.08, 0.01, 0.02, 1.79, 2.01, 1.49, 0.27, 0.02, 12.02, 2.15, 2.29, 2.0
/ubc/cs/project/arrow/projects/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.19852.cnf, 2694.0, 20654.0, 2245.0, 17960.0, 0.2, 0.15, 0.125, 1.0, 0.0, 1.0, 1.0, 0.0, 0.001336303, 0.881917104, 0.000890869, 0.004454343, 0.376770161, 0.0, 0.875, 0.875, 0.001336303, 0.031461945, 0.001113586, 0.001447661, 0.490324933, 0.166835911, 0.005403353, 0.153846154, 0.2, 0.490324933, 0.00077951, 0.026967382, 0.000668151, 0.000835189, 0.490324933, 0.875, 0.003006682, 0.034957717, 0.002449889, 0.003285078, 0.001602764, 1.142206088, 0.000445434, 0.006959911, 1.595031368, 0.110119624, 0.449630575, 0.015873016, 0.222222222, 1.289703525, 14.57798574, 0.124157991, 10.0, 19.0, 1.991610519, 1531.25, 0.540544324, 926.0, 3438.0, 3163.0, 951.0, 1820.0, 986.0, 1267.0, 15.101616647, 0.054945787, 14.044164038, 16.430191972, 16.426809991, 14.09380863, 15.951893552, 14.313174946, 15.070993915, 0.682351158, 0.009036239, 0.664048705, 0.716860723, 0.68325534, 0.681054792, 0.682714866, 0.68187572, 0.682230054, 0.009922652, 0.154998036, 0.006567035, 0.021144925, 0.01001812, 0.009650816, 0.009905404, 0.009732274, 0.009813948, 0.0, 0.0, 0.200445434, 0.496659243, 0.496659243, -0.05, 0.1, 2.0, 0.0, 0.5, 0.8, 93.7639, 3.22649, 741.208, 0.0893789, 747.5, 722.0, 772.0, 2.25172, 0.230284, 0.981287, 0.0839512, 68.9521, 0.0855092, 746.555, 0.0284809, 748.0, 720.0, 774.0, 0.881069, 0.398126, 0.988312, 0.00203297, 0.456316085, 0.622858047, 0.06, 0.0, 0.02, 1.67, 1.89, 2.0, 0.26, 0.01, 10.24, 2.13, 2.32, 2.0
/ubc/cs/project/arrow/projects/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.3692.cnf, 2844.0, 21804.0, 2370.0, 18960.0, 0.2, 0.15, 0.125, 1.0, 0.0, 1.0, 1.0, 0.0, 0.001265823, 0.881917104, 0.000843882, 0.004219409, 0.376770161, 0.0, 0.875, 0.875, 0.001265823, 0.031095787, 0.001160338, 0.001476793, 0.493314323, 0.166827898, 0.005202995, 0.142857143, 0.181818182, 0.493314323, 0.000738397, 0.026653532, 0.000685654, 0.000843882, 0.493314323, 0.875, 0.002848101, 0.034550874, 0.002584388, 0.003375527, 0.001518186, 1.142256652, 0.000474684, 0.00685654, 1.615786363, 0.110122597, 0.4495221, 0.015267176, 0.2, 1.294565617, 14.002686968, 0.122609089, 11.0, 18.0, 1.921020722, 3496.0, 0.0, 3496.0, 3496.0, 3496.0, 3496.0, 3496.0, 3496.0, 3496.0, 19.009153318, 0.0, 19.009153318, 19.009153318, 19.009153318, 19.009153318, 19.009153318, 19.009153318, 19.009153318, 0.682343572, 0.008661416, 0.653070459, 0.700193417, 0.683394892, 0.680933656, 0.682742584, 0.681796377, 0.682248766, 0.009920239, 0.146654226, 0.004583296, 0.015047551, 0.010023691, 0.009644851, 0.009910014, 0.00973181, 0.009812552, 0.0, 0.0, 0.299156118, 0.375949367, 0.375949367, -0.05, 0.1, 2.0, 0.0, 0.5, 0.8, 97.194, 3.18591, 780.731, 0.0923859, 785.5, 754.0, 817.0, 2.28075, 0.354852, 1.03282, 0.506206, 71.8603, 0.083567, 788.5, 0.0284696, 786.0, 762.0, 816.0, 0.865531, 0.36723, 0.988329, 0.00175332, 0.446592961, 0.642810867, 0.07, 0.01, 0.02, 1.75, 2.01, 0.6, 0.27, 0.01, 11.21, 2.17, 2.36, 2.0
/ubc/cs/project/arrow/projects/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.12987.cnf, 2898.0, 22218.0, 2415.0, 19320.0, 0.2, 0.15, 0.125, 1.0, 0.0, 1.0, 1.0, 0.0, 0.001242236, 0.881917104, 0.000828157, 0.004140787, 0.376770161, 0.0, 0.875, 0.875, 0.001242236, 0.032174473, 0.001035197, 0.001345756, 0.518462938, 0.166841854, 0.005464896, 0.153846154, 0.2, 0.518462938, 0.000724638, 0.027578119, 0.000621118, 0.000776398, 0.518462938, 0.875, 0.002795031, 0.035749414, 0.002277433, 0.00305383, 0.001490024, 1.142238128, 0.000414079, 0.006469979, 1.6325915, 0.110119547, 0.44969788, 0.015873016, 0.222222222, 1.308450574, 14.676735798, 0.084744985, 12.0, 18.0, 1.607453614, 2038.0, 0.372358537, 1283.0, 3562.0, 3562.0, 1283.0, 2382.0, 1582.0, 1620.0, 16.110348916, 0.068138324, 14.999580185, 18.673217294, 18.673217294, 14.999580185, 16.470005504, 15.183944374, 15.73433584, 0.682356827, 0.009243112, 0.665540114, 0.716665572, 0.683360229, 0.680779038, 0.682750219, 0.68177285, 0.682257111, 0.009925253, 0.153490251, 0.006614172, 0.021119233, 0.010117854, 0.009647007, 0.009911289, 0.00973144, 0.009812174, 0.0, 0.0, 0.178467909, 0.754451346, 0.754451346, -0.05, 0.1, 2.0, 0.0, 0.5, 0.8, 72.8308, 0.105225, 801.4, 0.0291786, 799.5, 771.0, 828.0, 2.30151, 0.225644, 0.988157, 0.00234465, 72.4179, 0.0823369, 802.366, 0.0313231, 802.5, 770.0, 836.0, 0.867957, 0.351125, 0.987939, 0.00160313, 0.445284712, 0.635777204, 0.07, 0.0, 0.02, 1.81, 2.01, 2.01, 0.27, 0.02, 12.17, 2.17, 2.3, 2.0
/ubc/cs/project/arrow/projects/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.3233.cnf, 2976.0, 22816.0, 2480.0, 19840.0, 0.2, 0.15, 0.125, 1.0, 0.0, 1.0, 1.0, 0.0, 0.001209677, 0.881917104, 0.000806452, 0.004032258, 0.376770161, 0.0, 0.875, 0.875, 0.001209677, 0.032620057, 0.001108871, 0.00141129, 0.520108817, 0.166843237, 0.005433336, 0.142857143, 0.181818182, 0.520108817, 0.000705645, 0.027960049, 0.000655242, 0.000806452, 0.520108817, 0.875, 0.002721774, 0.036244507, 0.002469758, 0.003225806, 0.001451024, 1.142289018, 0.000453629, 0.006552419, 1.636063411, 0.110120486, 0.449705933, 0.015267176, 0.2, 1.297924081, 13.671328671, 0.107734682, 10.0, 17.0, 1.749708955, 1916.3, 0.40205171, 1230.0, 3130.0, 3130.0, 1236.0, 2949.0, 1240.0, 1631.0, 15.948876317, 0.075833288, 14.40455665, 18.775178026, 18.775178026, 14.781300813, 16.401594114, 14.80883175, 15.937699681, 0.682357805, 0.009237543, 0.652235058, 0.700636255, 0.68367305, 0.680851745, 0.68274955, 0.681777942, 0.68222138, 0.009925925, 0.14946664, 0.004624346, 0.014744047, 0.010104743, 0.009586193, 0.009911822, 0.009732082, 0.00981393, 0.0, 0.0, 0.00766129, 0.254435484, 0.254435484, -0.05, 0.1, 2.0, 0.0, 0.5, 0.8, 75.3443, 0.0984052, 824.205, 0.028586, 822.5, 794.0, 855.0, 2.24042, 0.185453, 0.988044, 0.00215613, 75.2339, 0.0799152, 824.581, 0.0273941, 823.0, 796.0, 851.0, 0.868094, 0.411412, 0.988296, 0.00190902, 0.448852399, 0.645748007, 0.07, 0.01, 0.02, 1.83, 2.01, 2.0, 0.28, 0.02, 13.07, 2.13, 2.3, 2.0
/ubc/cs/project/arrow/projects/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.2102.cnf, 2556.0, 19596.0, 2130.0, 17040.0, 0.2, 0.15, 0.125, 1.0, 0.0, 1.0, 1.0, 0.0, 0.001408451, 0.881917104, 0.000938967, 0.004694836, 0.376770161, 0.0, 0.875, 0.875, 0.001408451, 0.030748784, 0.00129108, 0.001525822, 0.492285169, 0.16682535, 0.005176091, 0.153846154, 0.181818182, 0.492285169, 0.000821596, 0.026356101, 0.000762911, 0.000880282, 0.492285169, 0.875, 0.003169014, 0.034165316, 0.002875587, 0.003462441, 0.001689204, 1.142181244, 0.000528169, 0.007335681, 1.598681501, 0.110117945, 0.449478919, 0.015873016, 0.2, 1.27612958, 15.34711132, 0.063507958, 14.0, 17.0, 1.328834015, 1927.0, 0.417246603, 1013.0, 3031.0, 3031.0, 1025.0, 2785.0, 1059.0, 2183.0, 16.097806725, 0.079975768, 14.131293189, 18.87660838, 18.87660838, 15.208886853, 17.032845412, 15.265344665, 15.803094233, 0.682344804, 0.008832744, 0.665545498, 0.700482146, 0.683284251, 0.680971611, 0.682752019, 0.681748413, 0.682207445, 0.009913254, 0.142447654, 0.006670318, 0.014598065, 0.01001884, 0.0096502, 0.009910038, 0.0097319, 0.009814438, 0.0, 0.0, 0.147887324, 0.515492958, 0.515492958, -0.05, 0.1, 2.0, 0.0, 0.5, 0.8, 64.9815, 0.121021, 706.84, 0.0320412, 704.5, 680.0, 736.0, 2.33275, 0.218324, 0.988038, 0.00247052, 65.0637, 0.0858687, 706.879, 0.028139, 706.0, 684.0, 733.0, 0.928638, 0.362067, 0.988355, 0.0020013, 0.457886694, 0.652674117, 0.06, 0.0, 0.02, 1.56, 1.76, 1.99, 0.24, 0.02, 9.05, 2.17, 2.32, 2.0
/ubc/cs/project/arrow/projects/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.14283.cnf, 2814.0, 21574.0, 2345.0, 18760.0, 0.2, 0.15, 0.125, 1.0, 0.0, 1.0, 1.0, 0.0, 0.001279318, 0.881917104, 0.000852878, 0.004264392, 0.376770161, 0.0, 0.875, 0.875, 0.001279318, 0.032194475, 0.001066098, 0.001492537, 0.501730808, 0.166842539, 0.00548957, 0.142857143, 0.2, 0.501730808, 0.000746269, 0.027595265, 0.000639659, 0.000852878, 0.501730808, 0.875, 0.002878465, 0.035771639, 0.002345416, 0.003411514, 0.001534505, 1.142230913, 0.000426439, 0.006929638, 1.602541066, 0.110118789, 0.449706496, 0.015267176, 0.222222222, 1.293274472, 14.600794001, 0.096105041, 12.0, 18.0, 1.703517013, 1930.6, 0.41750075, 1029.0, 3391.0, 3391.0, 1034.0, 2486.0, 1092.0, 2206.0, 15.516170298, 0.090179284, 13.549076774, 17.985714286, 17.985714286, 13.697802198, 16.063555913, 14.257253385, 15.63417951, 0.682358339, 0.009340427, 0.652256766, 0.717162533, 0.683291563, 0.680762918, 0.682718569, 0.681828232, 0.682234174, 0.009924803, 0.154876373, 0.004667672, 0.021110289, 0.010099053, 0.009648859, 0.009905965, 0.009732793, 0.009813245, 0.0, 0.0, 0.133901919, 0.425159915, 0.425159915, -0.05, 0.1, 2.0, 0.0, 0.5, 0.8, 82.709, 1.33376, 773.716, 0.0931827, 782.0, 749.0, 812.0, 2.32771, 0.276108, 0.992208, 0.0424239, 72.2727, 0.0805658, 777.769, 0.0279909, 780.0, 749.0, 799.0, 0.900225, 0.393949, 0.988158, 0.00187565, 0.450752779, 0.643233098, 0.07, 0.0, 0.02, 1.74, 2.01, 1.99, 0.26, 0.02, 11.09, 2.15, 2.31, 2.0
/ubc/cs/project/arrow/projects/Sat_Data/UBCSAT_INSTANCES/smallworlds/SWlin2006.17177.cnf, 624.0, 4784.0, 520.0, 4160.0, 0.2, 0.15, 0.125, 1.0, 0.0, 1.0, 1.0, 0.0, 0.005769231, 0.881917104, 0.003846154, 0.019230769, 0.376770161, 0.0, 0.875, 0.875, 0.005769231, 0.028306926, 0.005288462, 0.00625, 0.437605681, 0.166801148, 0.004765383, 0.153846154, 0.181818182, 0.437605681, 0.003365385, 0.024263079, 0.003125, 0.003605769, 0.437605681, 0.875, 0.012980769, 0.03145214, 0.011778846, 0.014182692, 0.006917992, 1.142071844, 0.002163462, 0.030048077, 1.524431314, 0.110115268, 0.449167863, 0.015873016, 0.2, 1.235611354, 8.200385356, 0.066245233, 7.0, 9.0, 0.806139177, 2961.4, 0.171249971, 2368.0, 3589.0, 3589.0, 2368.0, 3535.0, 2543.0, 2772.0, 17.150957388, 0.07013251, 15.273226351, 18.616606297, 18.616606297, 15.273226351, 18.210183876, 16.489186001, 17.165584416, 0.682321045, 0.008264966, 0.666149854, 0.699738769, 0.682851849, 0.681086883, 0.682744396, 0.68189583, 0.682235895, 0.009896607, 0.130237121, 0.006731678, 0.014301668, 0.010013978, 0.009724943, 0.009914812, 0.009730678, 0.009815354, 0.0, 0.0, 0.553846154, 0.553846154, 0.553846154, -0.05, 0.1, 2.0, 0.0, 0.5, 0.8, 18.8196, 1.25384, 173.78, 0.0683111, 174.0, 160.0, 188.0, 3.41588, 0.212556, 0.990158, 0.0260576, 17.2853, 0.136158, 173.838, 0.0612344, 174.0, 160.0, 187.0, 2.00632, 0.40541, 0.989688, 0.00353355, 0.593654586, 0.800966219, 0.0, 0.0, 0.0, 0.38, 0.1, 2.01, 0.06, 0.01, 0.4, 2.18, 2.26, 2.0
